original,frequency,normalized_basic,normalized_tense,has_tense,tense_type,tense_morphemes,morphemes,info_loss
리오하고,73,리오하고,리오하고,False,,,[],False
인대,68,인대,인대,False,,,[],False
이라야,242,라야,라야,False,,,[],False
하리니,821,하리니,하리니,False,,,[],False
이오,463,오,오,False,,,[],False
이라하니이다,105,라하니이다,라하니이다,False,,,[],False
이니이다,1913,니이다,니이다,False,,,[],False
하니이다,984,하니이다,하니이다,False,,,[],False
엔,1259,엔,엔,False,,,[],False
라하나이다,64,라하나이다,라하나이다,False,,,[],False
이로소이다,106,로소이다,로소이다,False,,,[],False
고,394,고,고,False,,,[],False
이라하니라,437,라하니라,라하니라,False,,,[],False
이리라,165,리라,리라,False,,,[],False
라하니이다,194,라하니이다,라하니이다,False,,,[],False
하야는,239,하야는,하야는,False,,,[],False
하오니,91,하오니,하오니,False,,,[],False
로소이다,250,로소이다,로소이다,False,,,[],False
하시니이다,137,하시니이다,하시니이다,False,,,[],False
리잇가,230,리잇가,리잇가,False,,,[],False
리오마는,86,리오마는,리오마는,False,,,[],False
에도,188,에도,에도,False,,,[],False
이리이다,148,리이다,리이다,False,,,[],False
호리이다,60,호리이다,호리이다,False,,,[],False
라하노라,62,라하노라,라하노라,False,,,[],False
하나니라,207,하나니라,하나니라,False,,,[],False
하실새,57,하실새,하실새,False,,,[],False
의,332,의,의,False,,,[],False
하시니라,237,하시니라,하시니라,False,,,[],False
일새니이다,83,일새니이다,일새니이다,False,,,[],False
이라하나이다,54,라하나이다,라하나이다,False,,,[],False
하노니,272,하노니,하노니,False,,,[],False
이리니,141,리니,리니,False,,,[],False
하시면,210,하시면,하시면,False,,,[],False
이리잇가,123,리잇가,리잇가,False,,,[],False
로니,51,로니,로니,False,,,[],False
일새니라,73,일새니라,일새니라,False,,,[],False
어다,110,어다,어다,False,,,[],False
언마는,87,언마는,언마는,False,,,[],False
릿가,125,릿가,릿가,False,,,[],False
이릿가,95,릿가,릿가,False,,,[],False
ᄂ저,176,ᄂ저,ᄂ저,False,,,[],False
하시다,59,하시다,하시다,False,,,[],False
하시되,52,하시되,하시되,False,,,[],False
니잇고,58,니잇고,니잇고,False,,,[],False
어시늘,74,어시늘,어시늘,False,,,[],False
라하면,60,라하면,라하면,False,,,[],False
라하시니라,114,라하시니라,라하시니라,False,,,[],False
하시며,181,하시며,하시며,False,,,[],False
아하니라,58,아하니라,아하니라,False,,,[],False
이라하여,279,라하여,라하여,False,,,[],False
커늘,96,커늘,커늘,False,,,[],False
호대,766,호대,호대,False,,,[],False
리잇고,71,리잇고,리잇고,False,,,[],False
하더라,67,하더라,하더라,False,,,[],False
으로도,57,로도,로도,False,,,[],False
ㄴ저,165,ㄴ저,ㄴ저,False,,,[],False
타가,59,타가,타가,False,,,[],False
라하노이다,63,라하노이다,라하노이다,False,,,[],False
