도서명,시제,건수,비율
서경집전(상),미래/추측,1598,26.861657421415362
서경집전(하),과거,1432,23.878605969651492
서경집전(하),현재,2523,42.07103551775888
서경집전(하),미래/추측,1702,28.380857095214274
서경집전(하),의문,340,5.669501417375354
시경집전(상),과거,968,15.562700964630224
시경집전(상),의문,163,2.620578778135048
시경집전(상),현재,3434,55.20900321543408
시경집전(상),미래/추측,1655,26.607717041800644
시경집전(하),과거,929,14.618410700236034
시경집전(하),의문,138,2.1715184893784425
시경집전(하),현재,3594,56.55389457120378
시경집전(하),미래/추측,1694,26.656176239181743
예기집설대전1,현재,1387,51.73442745244312
예기집설대전1,미래/추측,871,32.48787765759045
예기집설대전1,의문,94,3.5061544199925403
예기집설대전1,과거,329,12.27154046997389
예기집설대전2,과거,665,24.129172714078376
예기집설대전2,현재,1176,42.670537010159656
예기집설대전2,의문,208,7.547169811320755
예기집설대전2,미래/추측,707,25.65312046444122
자치통감강목1,의문,201,9.335810496980956
자치통감강목1,과거,924,42.91686019507664
자치통감강목1,현재,782,36.32141198327915
자치통감강목1,미래/추측,246,11.425917324663262
자치통감강목2,과거,1118,35.390946502057616
자치통감강목2,현재,1431,45.2991452991453
자치통감강목2,미래/추측,498,15.7644824311491
자치통감강목2,의문,112,3.5454257676479894
자치통감강목3,과거,1262,29.771172446331683
자치통감강목3,미래/추측,770,18.16466147676339
자치통감강목3,의문,257,6.06275064873791
자치통감강목3,현재,1950,46.00141542816702
자치통감강목4,과거,1439,35.733796871119935
자치통감강목4,현재,1762,43.75465607151725
자치통감강목4,미래/추측,716,17.779985100571142
자치통감강목4,의문,110,2.7315619567916563
자치통감강목5,과거,1230,34.11927877947296
자치통감강목5,현재,1693,46.962552011095696
자치통감강목5,미래/추측,548,15.20110957004161
자치통감강목5,의문,134,3.7170596393897366
자치통감강목6,과거,786,37.14555765595463
자치통감강목6,현재,964,45.55765595463138
자치통감강목6,미래/추측,260,12.287334593572778
자치통감강목6,의문,106,5.00945179584121
자치통감강목7,과거,1097,51.26168224299066
자치통감강목7,현재,661,30.887850467289717
자치통감강목7,미래/추측,228,10.654205607476635
자치통감강목7,의문,154,7.196261682242991
주역전의(상),과거,1633,20.66826983926085
주역전의(상),현재,3493,44.209593722313635
주역전의(상),미래/추측,2395,30.31261865586635
주역전의(상),의문,380,4.809517782559169
주역전의(하),현재,3568,45.603271983640084
주역전의(하),미래/추측,2621,33.49948875255624
주역전의(하),의문,379,4.844069529652352
주역전의(하),과거,1256,16.05316973415133
중용장구,과거,128,14.050493962678376
중용장구,현재,486,53.34796926454446
중용장구,미래/추측,278,30.515916575192097
중용장구,의문,19,2.0856201975850714
춘추좌씨전1,현재,721,46.0997442455243
