시나리오,평균_가중_Canonicity,최대_가중_Canonicity,평균_장르_엔트로피,평균_Top_마커_비율
uniform,7.85,12.95,5.6137,0.0829
weak,11.66,17.92,5.38,0.0974
moderate,14.02,20.54,5.1877,0.1043
strong,16.91,23.27,4.9062,0.1108
inverse,2.23,4.03,5.7194,0.0693
data_driven,13.68,20.19,5.2173,0.1034
