x,y,boundary_type,cluster_id
9.882442,-4.7629943,Sentence,2
9.489024,-5.7489004,Sentence,1
9.371261,-5.163489,Sentence,2
7.817223,-4.270647,Sentence,1
9.246194,-5.0913405,Sentence,2
8.268035,-4.795395,Sentence,2
10.163018,-2.818166,Sentence,1
9.726744,-5.523865,Sentence,2
8.750694,-4.417479,Sentence,1
6.6146774,-4.562688,Sentence,1
6.7129474,-4.749945,Sentence,2
8.895725,-1.2381139,Sentence,0
8.937319,-1.6039981,Sentence,0
6.8316636,-1.8567257,Sentence,0
10.74144,-4.653209,Sentence,2
8.322831,-1.6620172,Sentence,0
7.0184717,-4.21182,Sentence,1
8.34929,-4.895644,Sentence,2
7.848867,-4.546875,Sentence,1
6.9094563,-3.5645978,Sentence,1
9.342938,-3.5756085,Sentence,2
4.348823,-2.492248,Sentence,0
5.827437,-3.4184432,Sentence,2
7.4917293,-3.5278223,Sentence,1
11.5687275,-4.95214,Sentence,0
10.516811,-1.8553522,Sentence,0
10.479938,-1.9956466,Sentence,1
8.170653,-2.0726144,Sentence,2
6.561395,-3.9854262,Sentence,1
6.548218,-2.3705196,Sentence,0
2.6657665,-1.2630748,Sentence,0
8.739007,-4.170304,Sentence,1
8.650552,-4.9616942,Sentence,2
9.461932,-4.9840293,Sentence,2
7.653977,-4.3164177,Sentence,1
8.622557,-5.554848,Sentence,2
9.625657,-5.222041,Sentence,2
6.101857,-2.9998767,Sentence,0
7.629206,-4.262565,Sentence,1
8.492987,-5.4247155,Sentence,2
8.754308,-4.840218,Sentence,2
8.800172,-5.7120442,Sentence,2
11.486267,-3.7916677,Sentence,0
7.332621,-0.11832528,Sentence,0
7.8152843,-1.1587249,Sentence,0
6.135501,-1.7693026,Sentence,0
8.46767,-2.3324082,Sentence,1
9.351556,-0.8023943,Sentence,0
5.875578,-2.3264,Sentence,0
7.7239933,-5.0842533,Sentence,2
7.3297324,-2.7431989,Sentence,0
6.031379,-0.80301595,Sentence,0
6.801778,8.02392,Sentence,0
3.749475,-1.0610515,Sentence,0
6.3932085,-4.168849,Sentence,2
6.667054,-3.898684,Sentence,1
7.8045115,-4.2537947,Sentence,1
7.7109437,-4.287539,Sentence,1
8.120935,-3.7470796,Sentence,1
8.028106,-4.568523,Sentence,1
2.6327486,-1.2630295,Sentence,0
7.262679,-1.2852407,Sentence,0
5.135192,-1.3291879,Sentence,2
6.6214795,-3.115668,Sentence,0
6.113131,-0.65225595,Sentence,0
8.047345,-3.4604077,Sentence,1
4.085779,-1.6588349,Sentence,0
6.7993875,8.02521,Sentence,0
6.9397335,-2.4369743,Sentence,0
