x,y,boundary_type,cluster_id
9.316633,15.0859375,Sentence,2
8.466457,14.218425,Sentence,2
9.238455,14.267789,Sentence,2
7.1945233,12.842873,Sentence,0
7.797107,9.348416,Sentence,1
12.474227,11.631735,Sentence,3
8.382704,12.314688,Sentence,0
11.667725,11.210695,Sentence,1
9.391565,14.313587,Sentence,2
10.603065,9.311462,Sentence,3
8.883221,13.736941,Sentence,2
7.5203114,12.149217,Sentence,0
8.146603,11.79611,Sentence,1
9.368935,13.596932,Sentence,2
7.5007787,13.5291815,Sentence,2
7.7052765,12.208637,Sentence,0
7.5415792,13.350264,Sentence,2
7.384716,11.920586,Sentence,0
9.010909,9.6883,Sentence,1
11.557626,12.248906,Sentence,2
8.442457,12.909641,Sentence,2
8.95796,11.7343,Sentence,1
7.620478,12.78732,Sentence,0
7.553105,12.260775,Sentence,0
9.507253,14.501198,Sentence,2
8.187158,11.848333,Sentence,0
9.032426,9.968902,Sentence,2
7.2599363,14.1838,Sentence,2
7.51269,13.890341,Sentence,2
7.495757,13.441421,Sentence,2
12.670824,10.346955,Sentence,3
7.779709,13.304652,Sentence,2
7.5331836,14.559818,Sentence,2
11.023735,10.966876,Sentence,1
10.243735,10.726493,Sentence,1
8.342153,12.094102,Sentence,0
7.317878,14.369801,Sentence,0
7.9750333,14.141292,Sentence,2
9.729291,14.277205,Sentence,2
9.303625,14.960609,Sentence,2
9.594942,12.317977,Sentence,0
8.798572,14.859103,Sentence,2
7.139986,13.358778,Sentence,0
7.6235776,10.055659,Sentence,0
12.85237,10.390557,Sentence,3
7.892741,12.262375,Sentence,0
7.849258,13.787275,Sentence,2
9.825724,12.135141,Sentence,3
8.344165,9.649167,Sentence,1
8.125273,13.326082,Sentence,1
8.140999,10.247736,Sentence,0
9.30556,12.154586,Sentence,2
7.4912047,12.289677,Sentence,0
8.330522,12.783061,Sentence,0
11.260695,10.737751,Sentence,1
9.301606,11.370432,Sentence,1
8.510795,14.523961,Sentence,2
7.232493,13.078512,Sentence,2
8.859363,15.084588,Sentence,0
8.264284,13.988483,Sentence,2
11.780051,12.175812,Sentence,1
9.066649,14.4606085,Sentence,2
10.056218,11.04231,Sentence,1
8.735369,13.95609,Sentence,2
7.194665,13.082694,Sentence,2
8.888701,11.794777,Sentence,2
8.036249,13.362769,Sentence,2
10.54016,10.760863,Sentence,1
7.2528906,12.431031,Sentence,0
10.487624,13.002701,Sentence,2
7.838464,9.353171,Sentence,1
6.534179,13.602111,Sentence,1
7.940321,8.669903,Sentence,1
10.446515,13.715933,Sentence,2
8.810169,13.786104,Sentence,2
8.303764,14.516627,Sentence,2
7.299171,12.483638,Sentence,0
9.374913,13.925918,Sentence,0
9.639051,15.037942,Sentence,2
12.245737,11.618187,Sentence,3
7.7162156,9.677741,Sentence,0
7.134742,11.216491,Sentence,0
8.959102,14.220502,Sentence,2
7.3705378,12.728545,Sentence,0
7.6595573,14.091435,Sentence,2
7.8015237,14.084955,Sentence,2
7.96629,9.726142,Sentence,1
6.8880506,21.030186,Sentence,1
9.925343,11.348838,Sentence,1
7.813236,13.290761,Sentence,2
7.2170334,12.092021,Sentence,0
7.591607,9.90015,Sentence,0
7.765828,13.4198065,Sentence,2
8.961226,13.8403225,Sentence,2
12.573572,11.735478,Sentence,3
8.004757,12.265615,Sentence,0
7.56161,12.218099,Sentence,0
8.474097,13.528675,Sentence,2
8.655597,14.845157,Sentence,2
7.973114,14.214272,Sentence,2
9.407048,12.169073,Sentence,1
12.542051,11.803467,Sentence,3
10.808611,11.224029,Sentence,1
6.4590235,13.584113,Sentence,1
11.57917,11.923376,Sentence,1
7.713206,12.911861,Sentence,0
9.203099,12.5999975,Sentence,2
7.537055,12.134984,Sentence,0
7.9485254,9.612044,Sentence,1
8.323828,13.956324,Sentence,2
9.748877,15.155051,Sentence,2
8.087405,13.367052,Sentence,2
7.781623,14.201466,Sentence,2
7.451715,12.655643,Sentence,0
7.9293065,14.432615,Sentence,2
12.772464,8.956132,Sentence,1
8.427747,11.260539,Sentence,1
9.7754345,14.5431185,Sentence,2
7.998394,14.48106,Sentence,2
10.782561,12.103338,Sentence,2
10.428973,11.759837,Sentence,1
7.90099,13.570187,Sentence,2
10.43399,11.927592,Sentence,1
7.6270833,13.278699,Sentence,2
10.690405,15.506872,Sentence,3
9.993798,11.812165,Sentence,2
8.97166,11.926675,Sentence,0
7.636785,13.117925,Sentence,2
7.6794615,13.418253,Sentence,2
8.871077,10.049516,Sentence,1
8.31404,10.372866,Sentence,0
7.2381377,12.354718,Sentence,0
8.471387,13.471243,Sentence,2
11.323756,11.693055,Sentence,3
8.27364,10.966928,Sentence,0
6.6787724,13.516064,Sentence,1
7.8871307,13.184662,Sentence,2
12.308699,11.878657,Sentence,3
11.491658,12.078367,Sentence,3
7.5625033,9.952117,Sentence,0
7.3986998,13.439672,Sentence,2
9.21775,14.688886,Sentence,2
9.062319,11.3112755,Sentence,0
10.074787,7.9508204,Sentence,1
7.618932,11.213107,Sentence,0
9.664948,14.588311,Sentence,2
7.7100744,13.683354,Sentence,2
8.2428465,12.953322,Sentence,0
9.548945,11.148972,Sentence,1
7.7266417,14.1741,Sentence,2
8.063374,12.172172,Sentence,0
8.994062,13.441215,Sentence,2
9.605951,15.24181,Sentence,2
10.495373,12.676886,Sentence,1
7.5747566,8.767292,Sentence,1
7.5307827,23.833351,Sentence,1
12.150754,10.724153,Sentence,1
8.398765,7.9882536,Sentence,3
7.945282,13.389158,Sentence,2
9.163508,15.083599,Sentence,2
8.536805,13.561822,Sentence,2
7.6412134,13.928652,Sentence,2
9.909483,14.593288,Sentence,2
11.480009,12.273952,Sentence,2
7.065573,12.6990595,Sentence,2
7.5416937,13.273977,Sentence,0
10.615521,11.480639,Sentence,1
7.564307,12.105914,Sentence,0
7.8727736,12.00436,Sentence,1
8.049731,12.569566,Sentence,0
9.886555,7.3147545,Sentence,2
7.125043,12.863036,Sentence,0
7.2100253,8.691849,Sentence,1
9.051421,13.803068,Sentence,2
8.001183,11.260883,Sentence,0
8.320057,13.046579,Sentence,2
7.4157624,12.124337,Sentence,0
9.098638,15.48224,Sentence,3
10.300676,11.475045,Sentence,1
9.780683,12.799637,Sentence,2
7.045792,13.749332,Sentence,2
8.0399475,10.932332,Sentence,0
8.708962,14.297805,Sentence,2
12.071406,10.826085,Sentence,3
7.77934,13.177987,Sentence,2
7.5043197,13.603313,Sentence,2
7.9824033,12.569761,Sentence,2
7.682724,12.5484085,Sentence,0
8.394094,12.430847,Sentence,0
10.125694,10.066533,Sentence,3
8.089427,13.394659,Sentence,2
7.4188023,12.704376,Sentence,0
12.335617,10.489981,Sentence,3
9.349624,12.726557,Sentence,1
9.63323,12.946451,Sentence,2
9.106804,14.9060755,Sentence,2
9.72196,13.99498,Sentence,2
10.922033,12.590201,Sentence,2
9.4498625,13.603592,Sentence,2
8.983274,14.357415,Sentence,0
7.78163,11.973927,Sentence,0
9.738709,11.531128,Sentence,3
9.096918,14.753366,Sentence,2
8.68733,15.096711,Sentence,2
7.617336,12.364394,Sentence,0
8.683491,13.601639,Sentence,2
8.018756,13.422861,Sentence,2
10.526477,14.513892,Sentence,2
11.62239,11.7909,Sentence,3
9.439948,14.351059,Sentence,2
7.8411136,10.818586,Sentence,0
9.211163,12.25532,Sentence,0
8.862671,10.721044,Sentence,1
7.3162174,11.242739,Sentence,0
11.097902,12.590093,Sentence,3
8.015371,13.015733,Sentence,0
11.64635,10.9138365,Sentence,3
10.284612,13.502067,Sentence,3
12.3404455,10.573523,Sentence,1
7.4940095,11.049658,Sentence,0
8.323505,9.09074,Sentence,1
11.643429,9.817245,Sentence,1
7.283874,12.478108,Sentence,0
7.5879827,10.865682,Sentence,0
9.111105,12.5170145,Sentence,2
7.346233,13.043815,Sentence,0
10.043292,15.065199,Sentence,2
10.8588705,11.870377,Sentence,2
7.7216954,12.988459,Sentence,2
8.206372,14.141232,Sentence,1
8.6808815,8.434972,Sentence,1
8.470061,14.723507,Sentence,2
8.906711,13.409192,Sentence,2
7.164081,13.617182,Sentence,2
10.918993,8.967091,Sentence,3
9.1201515,13.038789,Sentence,2
7.610301,12.970431,Sentence,2
8.143587,13.433223,Sentence,0
7.821701,11.477982,Sentence,0
7.1730747,14.107325,Sentence,2
9.356052,12.131409,Sentence,2
8.127614,12.01748,Sentence,1
7.815968,11.915418,Sentence,0
9.385453,14.248042,Sentence,2
8.827362,12.666524,Sentence,2
12.120289,11.139423,Sentence,3
7.490802,9.117051,Sentence,1
8.341933,11.847703,Sentence,0
9.84408,8.379477,Sentence,1
7.6907845,11.531556,Sentence,0
10.9247265,8.959359,Sentence,1
10.130454,9.646454,Sentence,0
7.7184315,11.901115,Sentence,0
9.209838,14.563986,Sentence,2
12.008354,12.204101,Sentence,1
9.348007,15.473404,Sentence,2
7.823101,11.621295,Sentence,0
7.9095936,13.086874,Sentence,0
8.390808,14.431742,Sentence,2
8.053555,12.774001,Sentence,0
6.9447913,13.415506,Sentence,2
11.680559,9.166412,Sentence,1
7.8969803,12.4391575,Sentence,0
10.030404,7.856328,Sentence,1
7.529038,14.02507,Sentence,2
10.755915,11.515945,Sentence,3
