genre,marker,mean_freq
經_사서,라,1.0390600845099454
經_사서,는,1.1039884571781924
經_사서,니,0.30773987426569105
經_사서,커니와,0.0010306090899721736
經_사서,하니,0.2089044625373596
經_사서,에,0.1970524580026796
經_사서,리오,0.04936617540966711
經_사서,나,0.12253942079769144
經_사서,하고,0.1882922807379161
經_사서,면,0.2281768525198392
經_사서,를,0.06935999175512728
經_사서,도,0.008657116355766258
經_사서,가,0.23116561888075854
經_사서,하여,0.30011336699989694
經_사서,니라,0.20210244254354323
經_사서,어늘,0.04400700814181181
經_사서,하사,0.011852004534679996
經_사서,하시나니,0.00041224363598886944
經_사서,아,0.04905699268267546
經_사서,로,0.20509120890446253
經_사서,라하시니,0.011542821807688343
經_사서,로다,0.019375450891476863
經_사서,하면,0.014222405441615994
經_사서,요,0.30196846336184685
經_사서,인저,0.011645882716685561
經_사서,하나니,0.025559105431309903
經_사서,하되,0.010306090899721735
經_사서,시니라,0.027826445429248687
經_사서,하여는,0.00937854271874678
經_사서,잇가,0.0178295372565186
經_사서,하리니,0.0036071318149026076
經_사서,어니와,0.017005049984540863
經_사서,하노라,0.00350407090590539
經_사서,리라,0.0201999381634546
經_사서,로되,0.02926929815520973
經_사서,시니,0.006389776357827476
經_사서,라도,0.023085643615376687
經_사서,로라,0.008038750901782953
經_사서,하며,0.0778109862928991
經_사서,어든,0.019169329073482427
經_사서,며,0.02071524270844069
經_사서,하리라,0.0034010099969081727
經_사서,하시니,0.04400700814181181
經_사서,신댄,0.00010306090899721736
經_사서,인대,0.00020612181799443472
經_사서,하노이다,0.002885705451922086
經_사서,와,0.02370400906935999
經_사서,오,0.015253014531588168
經_사서,라하니,0.03277336906111512
經_사서,라하나니,0.001442852725961043
經_사서,하시니이다,0.0009275481809749562
經_사서,러시니,0.0062867154488302586
經_사서,한대,0.01793259816551582
經_사서,하여늘,0.00010306090899721736
經_사서,하니라,0.02411625270534886
經_사서,인댄,0.01092445635370504
經_사서,하시고,0.017726476347521385
經_사서,라야,0.009893847263732866
經_사서,리니,0.004740801813871999
經_사서,시리오,0.0026795836339276514
經_사서,할새,0.003916314541894259
經_사서,언마는,0.00546222817685252
經_사서,하노니,0.0026795836339276514
經_사서,고하여,0.00030918272699165207
經_사서,엔,0.013088735442646604
經_사서,러니,0.02071524270844069
經_사서,라하더니,0.00041224363598886944
經_사서,에는,0.002885705451922086
經_사서,라하여,0.003194888178913738
經_사서,라가,0.0051530454498608675
經_사서,나니,0.0007214263629805215
經_사서,로니,0.0023704009069359993
經_사서,어시늘,0.005771410903844172
經_사서,니이다,0.00896629908275791
經_사서,하라,0.003813253632897042
經_사서,리이다,0.0007214263629805215
經_사서,하다,0.005359167267855303
經_사서,로다마는,0.00020612181799443472
經_사서,하소서,0.0021642790889415645
經_사서,어니,0.0026795836339276514
經_사서,리잇고,0.0020612181799443473
經_사서,코,0.00020612181799443472
經_사서,일새니이다,0.00020612181799443472
經_사서,니잇고,0.004946923631866433
經_사서,하리이다,0.0016489745439554778
經_사서,로소이다,0.0030918272699165207
經_사서,잇고,0.010821395444707822
經_사서,하니이다,0.0013397918169638257
經_사서,라하니이다,0.0008244872719777389
經_사서,하시되,0.0030918272699165207
經_사서,에야,0.00041224363598886944
經_사서,어시든,0.0022673399979387817
經_사서,하시면,0.0015459136349582603
經_사서,하실새,0.0020612181799443473
經_사서,시니이다,0.00020612181799443472
經_사서,릿가,0.00020612181799443472
經_사서,아하니라,0.0009275481809749562
經_사서,하나니라,0.0013397918169638257
經_사서,하더시니,0.00010306090899721736
經_사서,케라,0.00041224363598886944
經_사서,케이다,0.0012367309079666083
經_사서,하시리이다,0.00010306090899721736
經_사서,라하노라,0.0011336699989693908
經_사서,하여이다,0.00041224363598886944
經_사서,하신대,0.0036071318149026076
經_사서,로이다,0.0016489745439554778
經_사서,컨대,0.0030918272699165207
經_사서,란대,0.00020612181799443472
經_사서,하니잇고,0.0027826445429248686
經_사서,라하니라,0.007523446356796867
經_사서,러시다,0.0008244872719777389
經_사서,로다하나니,0.00010306090899721736
經_사서,러라,0.0013397918169638257
經_사서,라하고,0.006492837266824693
經_사서,하사는,0.0007214263629805215
經_사서,하시니라,0.014119344532618778
經_사서,라하여늘,0.001442852725961043
經_사서,일새니라,0.0013397918169638257
經_사서,여,0.010615273626713388
經_사서,인저하니라,0.00020612181799443472
經_사서,하시며,0.0027826445429248686
經_사서,라하리라,0.0011336699989693908
經_사서,하여도,0.00020612181799443472
經_사서,리오하시니라,0.0006183654539833041
經_사서,로도,0.0012367309079666083
經_사서,호되,0.0005153045449860868
經_사서,러니라,0.00030918272699165207
經_사서,온,0.0012367309079666083
經_사서,라하면,0.001442852725961043
經_사서,리오하시니,0.0012367309079666083
經_사서,의,0.0008244872719777389
經_사서,하라니,0.00010306090899721736
經_사서,시리오마는,0.0005153045449860868
經_사서,여하되,0.00020612181799443472
經_사서,하나니이다,0.00020612181799443472
經_사서,히,0.0022673399979387817
經_사서,하시나,0.0007214263629805215
經_사서,언정,0.0040193754508914764
經_사서,리오하나니,0.00010306090899721736
經_사서,론,0.0015459136349582603
經_사서,로소니,0.0009275481809749562
經_사서,라할새,0.00020612181799443472
經_사서,호라,0.0012367309079666083
經_사서,고,0.003916314541894259
經_사서,라하시니라,0.006183654539833041
經_사서,라하노니,0.00010306090899721736
經_사서,어다,0.0007214263629805215
經_사서,신저,0.001442852725961043
經_사서,신저하니,0.00020612181799443472
經_사서,리오마는,0.0010306090899721736
經_사서,하더니,0.0020612181799443473
經_사서,들,0.00020612181799443472
經_사서,리오하니,0.0013397918169638257
經_사서,하이다,0.00030918272699165207
經_사서,라하시니이다,0.00010306090899721736
經_사서,시리라,0.0012367309079666083
經_사서,리오하니라,0.00041224363598886944
經_사서,러이다,0.0007214263629805215
經_사서,오하나니라,0.00010306090899721736
經_사서,오하니라,0.0008244872719777389
經_사서,시니잇고,0.0013397918169638257
經_사서,아하라,0.00010306090899721736
經_사서,에도,0.0008244872719777389
經_사서,닛고,0.00030918272699165207
經_사서,야,0.0009275481809749562
經_사서,일새,0.0019581572709471296
經_사서,호니,0.00020612181799443472
經_사서,아하시니,0.0006183654539833041
經_사서,하시다,0.0021642790889415645
經_사서,하시리니,0.0008244872719777389
經_사서,라하시고,0.0026795836339276514
經_사서,케하시니,0.00020612181799443472
經_사서,사도,0.00030918272699165207
經_사서,아하여,0.00041224363598886944
經_사서,인저하시니,0.00030918272699165207
經_사서,하라하니,0.00010306090899721736
經_사서,하시더니,0.00041224363598886944
經_사서,라하시리니,0.00020612181799443472
經_사서,오하여,0.00030918272699165207
經_사서,하더라,0.00041224363598886944
經_사서,리오하니이다,0.00010306090899721736
