cluster_id,는,하고,하여,하니,에,하야,가,니,요,면,로,라,나,어늘,하며,를,와,라하니,러니,로되,한대,하면,라도,오,라가,며,라하고,어든,하사,하시니
0,0.24199387357282093,0.07504873294346978,0.039543302701197436,0.0744917850181008,0.06683375104427736,0.05012531328320802,0.06934001670843776,0.07490949596212754,0.0707323865218602,0.027708159287106654,0.0416318574213311,0.029935950988582566,0.01211361737677527,0.014341409078251183,0.011556669451406293,0.012809802283486493,0.015594541910331383,0.010582010582010581,0.010303536619326092,0.005291005291005291,0.006961849067112225,0.002506265664160401,0.003341687552213868,0.00835421888053467,0.001670843776106934,0.005291005291005291,0.00556947925368978,0.004316346421609579,0.003063213589529379,0.00403787245892509
1,0.17164626316240048,0.10923722284051023,0.054875438746682645,0.07610649773135862,0.06317952230117284,0.03501412550295351,0.06249464943069943,0.05864223953428645,0.07482236109922095,0.0316753702593956,0.03775361698484719,0.037839226093656364,0.033644379762006675,0.01575207602088862,0.03253146134748737,0.021487886311103502,0.0027394914818936736,0.012498929886139886,0.004451673658077219,0.014981594041606027,0.003081927917130383,0.002910709699512028,0.014382330279941785,0.005821419399024056,0.0007704819792825957,0.007191165139970893,0.0035955825699854464,0.004451673658077219,0.0022258368290386096,0.004194846331649687
2,0.12287881812737073,0.09822319824316231,0.1340586943501697,0.09183469754442004,0.046316630065881416,0.07915751647035336,0.06648033539628669,0.05699740467159114,0.05180674785386305,0.02725094829307247,0.02685166699940108,0.043322020363345974,0.033938909962068275,0.01736873627470553,0.021760830505090836,0.014873228189259333,0.0048911958474745455,0.003793172289878219,0.007386703932920743,0.01267718107406668,0.0012976642044320223,0.003892992613296067,0.006388500698742264,0.003992812936713915,0.00658814134557796,0.005290477141145937,0.0028947893791175885,0.005789578758235177,0.0011978438810141745,0.000798562587342783
3,0.1821890827236916,0.07020258863252674,0.0413618458075408,0.09341586944288126,0.1043894203714125,0.06260551491277434,0.1257737760270118,0.03995498030388295,0.02996623522791221,0.016882386043894203,0.0357343837929094,0.02208778840742825,0.014631401238041642,0.027574563871693866,0.004079909960607766,0.010410804727068092,0.011536297129994372,0.016882386043894203,0.014912774338773213,0.010410804727068092,0.02433877321328081,0.0023916713562183453,0.0026730444569499157,0.009707371975239167,0.0039392234102419805,0.0021102982554867754,0.007175014068655037,0.0011254924029262803,0.004924029262802476,0.006612267867191896
4,0.06661973070491947,0.143536038018129,0.13693566839743027,0.0882689430608114,0.0590513068731849,0.12751914107190002,0.06793980462905923,0.026841503124174954,0.023585320777963565,0.05016280911731057,0.04215436064419607,0.016984951157264807,0.014432808237261287,0.0234093109214116,0.01733697087036874,0.01425679838070932,0.006600369620698759,0.005808325266214908,0.009768547038634164,0.004400246413799173,0.007304409046906627,0.010208571680014081,0.004928275983455074,0.0036082020593153218,0.007744433688286544,0.0023761330634515534,0.006336354835870809,0.006512364692422776,0.0026401478482795037,0.002728152776555487
5,0.6134448416751788,0.01468335035750766,0.006064862104187947,0.014747191011235955,0.026621552604698673,0.0010214504596527069,0.0329417773237998,0.041687946884576096,0.139108784473953,0.005554136874361594,0.045965270684371805,0.016407048008171603,0.011235955056179775,0.0007660878447395301,0.0035112359550561797,0.004468845760980593,0.0064479060265577115,0.002425944841675179,0.00019152196118488253,0.0015960163432073545,0.0006384065372829418,0.0027451481103166497,0.00019152196118488253,0.0036389172625127682,6.384065372829418e-05,0.002553626149131767,0.0007022471910112359,0.0003192032686414709,0.0,0.0002553626149131767
6,0.2047713717693837,0.09145129224652088,0.09358136892928146,0.08009088327179778,0.10976995171826186,0.07015052541891507,0.06546435671684181,0.052399886395910256,0.042033513206475435,0.011076398750355012,0.03408122692416927,0.017182618574268674,0.007668276057938086,0.01036637318943482,0.011644419199091167,0.011076398750355012,0.011928429423459244,0.023004828173814256,0.010934393638170975,0.004828173814257313,0.0035501278046009654,0.00411814825333712,0.0017040613462084636,0.001846066458392502,0.004828173814257313,0.0035501278046009654,0.008662311843226356,0.0009940357852882703,0.005680204487361545,0.0015620562340244249
7,0.2443830242510699,0.09869828815977176,0.07667617689015692,0.10832738944365193,0.03637660485021398,0.006241084165477888,0.04404422253922967,0.07952924393723253,0.09513195435092725,0.026925820256776034,0.04475748930099857,0.03646576319543509,0.016761768901569187,0.010164051355206847,0.01587018544935806,0.005706134094151213,0.011323109843081313,0.005527817403708987,0.0004457917261055635,0.006686875891583452,0.0005349500713266762,0.01578102710413695,0.0002674750356633381,0.002585592011412268,0.0005349500713266762,0.006419400855920114,0.001515691868758916,0.0004457917261055635,0.0003566333808844508,0.001515691868758916
8,0.03529733673841664,0.1682780007296607,0.10716891645384896,0.07971543232396935,0.11136446552353156,0.1817767238234221,0.08454943451295148,0.007479022254651587,0.012221816855162349,0.003283473184968989,0.048340021889821234,0.012221816855162349,0.004013133892739876,0.022893104706311566,0.006931776723823422,0.0056548704852243704,0.009576796789492886,0.002645020065669464,0.03219627873039037,0.001550529004013134,0.0316490331995622,0.0008208682962422473,9.120758847136082e-05,0.0021889821233126595,0.014866836920831813,0.0007296607077708865,0.003465888361911711,0.0006384531192995258,0.0072966070777088655,0.0010944910616563297
9,0.17714182213367144,0.07725049809817063,0.07272233291070458,0.10478174243796413,0.08051077703314617,0.07027712370947292,0.0754392320231842,0.04790798768339069,0.028980257199782648,0.021101249773591742,0.04654953812715088,0.031334903097264985,0.026263358087303026,0.013312805651150153,0.00815069733743887,0.017750407534866872,0.012588299221155588,0.018203224053613475,0.010686469842419851,0.010958159753667814,0.009328020286180039,0.005071545009961964,0.003622532149972831,0.006611121173700416,0.0021735192899836986,0.001992392682485057,0.007154500996196341,0.001992392682485057,0.003984785364970114,0.006158304654953812
10,0.14463498285154336,0.12346888780009799,0.11513963743263106,0.0744732974032337,0.02645761881430671,0.053601175894169524,0.03998040176384125,0.07163155316021558,0.07123958843704066,0.10445859872611465,0.018716315531602155,0.027633512983831456,0.022146006859382655,0.005389514943655071,0.03390494855463008,0.010583047525722686,0.0028417442430181284,0.008917197452229299,0.0004899559039686428,0.006369426751592357,0.0005879470847623714,0.009799118079372856,0.005585497305242528,0.002939735423811857,0.0006859382655561,0.004899559039686428,0.0014698677119059284,0.001763841254287114,0.004605585497305243,0.005585497305242528
11,0.08728139904610493,0.0782193958664547,0.051669316375198726,0.0649443561208267,0.02575516693163752,0.029411764705882353,0.03012718600953895,0.08783783783783784,0.07750397456279809,0.2361685214626391,0.013672496025437202,0.023211446740858507,0.05238473767885533,0.011049284578696344,0.015182829888712241,0.01645468998410175,0.002861685214626391,0.0062798092209856915,0.000794912559618442,0.011446740858505564,0.0005564387917329094,0.017011128775834657,0.027980922098569158,0.006200317965023848,0.002305246422893482,0.007313195548489666,0.0018282988871224164,0.011208267090620032,0.0008744038155802862,0.00246422893481717
12,0.10336898930320904,0.10356892932120364,0.11006697990602819,0.10926721983404979,0.05628311506548036,0.08847345796261122,0.0618814355693292,0.04758572428271519,0.02259322203338998,0.04318704388683395,0.05928221533539938,0.026791962411276616,0.021993401979406177,0.021993401979406177,0.012196341097670699,0.020093971808457463,0.005798260521843447,0.011996401079676098,0.011496551034689594,0.00739778066580026,0.007097870638808358,0.007497750674797561,0.0053983804858542435,0.0042987103868839345,0.004698590422873138,0.0037988603418974308,0.008197540737778666,0.00369889033290013,0.00489853044086774,0.005098470458862341
