도서명,TAM범주,건수,비율
당송팔대가문초유종원1,회상상(Retrospective),59,2.4061990212071778
당송팔대가문초유종원1,추측 양태(Epistemic),202,8.238172920065253
당송팔대가문초유종원1,의문 서법(Interrogative),134,5.464926590538336
당송팔대가문초유종원2,당위 양태(Deontic),1472,53.27542526239595
당송팔대가문초유종원2,서술 서법(Declarative),1004,36.33731451321028
당송팔대가문초유종원2,추측 양태(Epistemic),121,4.379297864639884
당송팔대가문초유종원2,의문 서법(Interrogative),133,4.813608396670286
당송팔대가문초유종원2,회상상(Retrospective),33,1.1943539630836049
당송팔대가문초증공1,당위 양태(Deontic),1492,48.00514800514801
당송팔대가문초증공1,서술 서법(Declarative),1071,34.45945945945946
당송팔대가문초증공1,추측 양태(Epistemic),242,7.786357786357787
당송팔대가문초증공1,의문 서법(Interrogative),209,6.724581724581724
당송팔대가문초증공1,회상상(Retrospective),94,3.0244530244530243
당송팔대가문초한유1,당위 양태(Deontic),829,43.44863731656184
당송팔대가문초한유1,서술 서법(Declarative),703,36.84486373165618
당송팔대가문초한유1,의문 서법(Interrogative),127,6.656184486373165
당송팔대가문초한유1,회상상(Retrospective),37,1.939203354297694
당송팔대가문초한유1,추측 양태(Epistemic),212,11.11111111111111
당송팔대가문초한유2,당위 양태(Deontic),1116,47.59061833688699
당송팔대가문초한유2,서술 서법(Declarative),893,38.08102345415778
당송팔대가문초한유2,추측 양태(Epistemic),144,6.140724946695096
당송팔대가문초한유2,의문 서법(Interrogative),122,5.202558635394456
당송팔대가문초한유2,회상상(Retrospective),70,2.9850746268656714
당송팔대가문초한유3,당위 양태(Deontic),854,49.193548387096776
당송팔대가문초한유3,서술 서법(Declarative),730,42.05069124423963
당송팔대가문초한유3,회상상(Retrospective),58,3.3410138248847927
당송팔대가문초한유3,추측 양태(Epistemic),67,3.859447004608295
당송팔대가문초한유3,의문 서법(Interrogative),27,1.555299539170507
대학장구,당위 양태(Deontic),263,56.68103448275862
대학장구,서술 서법(Declarative),151,32.543103448275865
대학장구,의문 서법(Interrogative),13,2.8017241379310347
대학장구,회상상(Retrospective),11,2.3706896551724137
대학장구,추측 양태(Epistemic),26,5.603448275862069
맹자집주,추측 양태(Epistemic),445,5.833770319874148
맹자집주,의문 서법(Interrogative),655,8.586785527005768
맹자집주,당위 양태(Deontic),3855,50.53749344520189
맹자집주,서술 서법(Declarative),2503,32.81331934976402
맹자집주,회상상(Retrospective),170,2.228631358154169
서경집전(상),당위 양태(Deontic),2874,55.21613832853026
서경집전(상),서술 서법(Declarative),1937,37.21421709894332
서경집전(상),의문 서법(Interrogative),116,2.228626320845341
서경집전(상),추측 양태(Epistemic),181,3.477425552353506
서경집전(상),회상상(Retrospective),97,1.8635926993275695
서경집전(하),당위 양태(Deontic),2845,56.53815580286169
서경집전(하),의문 서법(Interrogative),105,2.08664546899841
서경집전(하),서술 서법(Declarative),1753,34.83704292527822
서경집전(하),회상상(Retrospective),87,1.728934817170111
서경집전(하),추측 양태(Epistemic),242,4.8092209856915735
시경집전(상),당위 양태(Deontic),3593,62.58491551994426
시경집전(상),서술 서법(Declarative),1861,32.41595540846542
시경집전(상),추측 양태(Epistemic),91,1.5850897056261977
시경집전(상),의문 서법(Interrogative),108,1.8812053649190037
시경집전(상),회상상(Retrospective),88,1.532834001045114
시경집전(하),당위 양태(Deontic),3745,65.2439024390244
시경집전(하),서술 서법(Declarative),1759,30.644599303135887
시경집전(하),추측 양태(Epistemic),89,1.5505226480836238
시경집전(하),의문 서법(Interrogative),97,1.6898954703832754
시경집전(하),회상상(Retrospective),50,0.8710801393728222
예기집설대전1,추측 양태(Epistemic),43,1.678376268540203
예기집설대전1,당위 양태(Deontic),1371,53.51288056206089
예기집설대전1,서술 서법(Declarative),934,36.45589383294301
예기집설대전1,의문 서법(Interrogative),207,8.079625292740047
예기집설대전1,회상상(Retrospective),7,0.273224043715847
예기집설대전2,회상상(Retrospective),44,1.7792155276991506
예기집설대전2,의문 서법(Interrogative),175,7.076425394257986
예기집설대전2,서술 서법(Declarative),859,34.735139506672056
예기집설대전2,당위 양태(Deontic),1299,52.52729478366357
예기집설대전2,추측 양태(Epistemic),96,3.8819247877072383
자치통감강목1,의문 서법(Interrogative),158,8.061224489795919
자치통감강목1,당위 양태(Deontic),805,41.07142857142857
자치통감강목1,서술 서법(Declarative),574,29.28571428571429
자치통감강목1,추측 양태(Epistemic),215,10.96938775510204
자치통감강목1,회상상(Retrospective),208,10.612244897959183
자치통감강목2,회상상(Retrospective),223,15.294924554183813
자치통감강목2,추측 양태(Epistemic),154,10.562414266117969
자치통감강목2,당위 양태(Deontic),604,41.426611796982165
자치통감강목2,의문 서법(Interrogative),100,6.858710562414267
자치통감강목2,서술 서법(Declarative),377,25.857338820301784
자치통감강목3,추측 양태(Epistemic),233,10.57168784029038
자치통감강목3,당위 양태(Deontic),840,38.11252268602541
자치통감강목3,의문 서법(Interrogative),227,10.2994555353902
자치통감강목3,회상상(Retrospective),227,10.2994555353902
자치통감강목3,서술 서법(Declarative),677,30.716878402903813
자치통감강목4,당위 양태(Deontic),858,42.96444667000501
자치통감강목4,서술 서법(Declarative),648,32.44867300951427
자치통감강목4,회상상(Retrospective),320,16.024036054081122
자치통감강목4,의문 서법(Interrogative),78,3.905858788182273
자치통감강목4,추측 양태(Epistemic),93,4.656985478217326
자치통감강목5,당위 양태(Deontic),882,41.40845070422535
자치통감강목5,서술 서법(Declarative),745,34.97652582159624
자치통감강목5,추측 양태(Epistemic),151,7.089201877934272
자치통감강목5,회상상(Retrospective),243,11.408450704225352
자치통감강목5,의문 서법(Interrogative),109,5.117370892018779
자치통감강목6,당위 양태(Deontic),561,38.958333333333336
자치통감강목6,의문 서법(Interrogative),81,5.625
자치통감강목6,서술 서법(Declarative),524,36.388888888888886
자치통감강목6,회상상(Retrospective),188,13.055555555555557
자치통감강목6,추측 양태(Epistemic),86,5.972222222222222
자치통감강목7,당위 양태(Deontic),935,41.35338345864661
자치통감강목7,서술 서법(Declarative),746,32.99425033171163
