cluster_id,x,y,is_canon
15,-17.82893,-4.4285636,0.004123711340206186
7,28.371508,7.166764,0.006097560975609756
5,-32.609814,-10.048376,0.03932584269662921
0,-0.57105684,1.3944944,0.04182509505703422
10,7.600025,13.743949,0.04785894206549118
4,0.6677418,-7.1478677,0.054945054945054944
11,-11.860631,1.9869281,0.061016949152542375
9,35.098515,2.3465593,0.07211538461538461
6,-37.946487,-10.831689,0.07329842931937172
13,11.227575,-2.362036,0.11398963730569948
8,-2.8295498,-0.15973607,0.1391304347826087
3,-9.336839,-2.973126,0.15644820295983086
14,-5.118657,7.4880495,0.1836734693877551
1,20.336628,5.4081135,0.22772277227722773
12,-14.101949,-3.6694357,0.43523316062176165
