,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
하나니,0.03388495,0.009456265,0.016548464,0.012608353,0.19227739,0.06304176,0.0031520883,0.06540583,0.066981874,0.0023640662,0.028368793,0.12765957,0.07249803,0.10480694,0.0023640662,0.19858156
엔,0.09928515,0.043685466,0.021445591,0.008737093,0.06115965,0.10325655,0.0023828435,0.111199364,0.13741064,0.019857028,0.019062748,0.07545671,0.043685466,0.08816521,0.012708499,0.15250199
하라,0.02020202,0.056397308,0.041245792,0.018518519,0.012626262,0.07491583,0.046296295,0.0042087543,0.1010101,0.014309764,0.30723906,0.12710437,0.034511786,0.06734007,0.01010101,0.06397306
하사,0.11737089,0.118309855,0.02347418,0.0,0.025352113,0.09577465,0.01971831,0.008450705,0.050704226,0.024413146,0.0600939,0.03380282,0.065727696,0.061032865,0.018779343,0.2769953
할새,0.025072323,0.23529412,0.026036644,0.0038572806,0.0038572806,0.027965285,0.114754096,0.0038572806,0.04628737,0.16972035,0.18997107,0.009643202,0.027000964,0.040501446,0.06364513,0.012536162
도,0.08964144,0.08864542,0.025896415,0.010956176,0.045816734,0.092629485,0.03486056,0.037848607,0.08565737,0.022908367,0.042828687,0.102589644,0.09163347,0.07669323,0.008964144,0.14243028
잇가,0.08629441,0.04365482,0.010152284,0.004060914,0.009137056,0.10862944,0.0060913707,0.0060913707,0.13401015,0.010152284,0.093401015,0.13197969,0.088324875,0.05786802,0.005076142,0.20507614
하니이다,0.11890244,0.11585366,0.025406504,0.0010162601,0.009146341,0.104674794,0.055894308,0.011178861,0.17479675,0.05792683,0.05792683,0.048780486,0.013211383,0.031504065,0.008130081,0.16565041
어니와,0.061269145,0.02844639,0.015317286,0.0021881838,0.066739604,0.065645516,0.030634573,0.04595186,0.08315098,0.009846827,0.117067836,0.17177244,0.12035011,0.0809628,0.0054704593,0.095185995
하되,0.06097561,0.14079823,0.032150775,0.0044345898,0.015521064,0.0864745,0.044345897,0.014412417,0.18514413,0.03880266,0.05986696,0.076496676,0.07538803,0.037694015,0.007760532,0.11973392
