saseo,samgyeong,other,composite_score,saseo_purity,separation,marker_diff,p6_def_score
8.0,1.0,1.0,0.5016539063991494,0.4367196367763905,0.1464049378722036,0.5855,0.8677471235927254
7.0,1.0,1.0,0.5014280489489439,0.4367196367763905,0.14690408216466289,0.5855,0.8663445494994438
8.0,1.5,1.5,0.5011922272854725,0.4367196367763905,0.14634922471214806,0.5855,0.8659561202980732
8.0,1.5,1.2,0.5011278796738665,0.4367196367763905,0.1456207136726556,0.5855,0.8664272408911421
6.0,1.0,1.0,0.5010937433988483,0.4367196367763905,0.1473660991955132,0.5855,0.8645453102682114
8.0,1.5,1.0,0.5010734126637573,0.4367196367763905,0.1450867239559403,0.5855,0.8667433625674201
7.0,1.5,1.5,0.5009012661960973,0.4367196367763905,0.14673697194990848,0.5855,0.8644045287028121
7.0,1.5,1.2,0.5008553091753489,0.4367196367763905,0.1460327846960404,0.5855,0.8649248878736866
7.0,1.5,1.0,0.5008132478035126,0.4367196367763905,0.1455151097404422,0.5855,0.8652743173419394
8.0,2.0,2.0,0.5007709985008562,0.4367196367763905,0.14631718159864998,0.5855,0.8643032482731061
8.0,2.0,1.8,0.5007432549976342,0.4367196367763905,0.14590877482759357,0.5855,0.8646006810312746
8.0,2.0,1.5,0.5006892271130435,0.4367196367763905,0.14524372704134172,0.5855,0.8650496172791636
8.0,2.0,1.2,0.5006177282044912,0.4367196367763905,0.1445054170712342,0.5855,0.8655019316150622
5.0,1.0,1.0,0.5005947013413502,0.4367196367763905,0.14776182164038673,0.5855,0.8621534195933457
8.0,2.0,1.0,0.5005585959278657,0.4367196367763905,0.1439654494823925,0.5855,0.8658053700974017
6.0,1.5,1.5,0.5004954334348328,0.4367196367763905,0.14708171696220967,0.5855,0.8624364526454529
6.0,1.5,1.2,0.5004716145860726,0.4367196367763905,0.14640561857826537,0.5855,0.8630172756343564
6.0,1.5,1.0,0.5004445801353211,0.4367196367763905,0.14590706775275752,0.5855,0.8634076886568581
7.0,2.0,2.0,0.5004297834599052,0.4367196367763905,0.1466244924915558,0.5855,0.8626310772163965
7.0,2.0,1.8,0.5004127780079966,0.4367196367763905,0.1462298956682193,0.5855,0.8629576522320985
8.0,2.5,2.5,0.5003837716646972,0.4367196367763905,0.14629840173558503,0.5855,0.862773120791535
7.0,2.0,1.5,0.5003751367296818,0.4367196367763905,0.14558605886097298,0.5855,0.8634509239260859
8.0,2.5,2.0,0.5003279353931225,0.4367196367763905,0.14536576920137992,0.5855,0.8634824082394414
7.0,2.0,1.2,0.5003202980500385,0.4367196367763905,0.14486929569909884,0.5855,0.8639483323693866
8.0,2.5,1.8,0.5002959796170717,0.4367196367763905,0.14495183671629852,0.5855,0.8637685176203199
7.0,2.0,1.0,0.5002723673991271,0.4367196367763905,0.14434364350253928,0.5855,0.8642822619623006
8.0,2.5,1.5,0.5002356910184987,0.4367196367763905,0.1442789217782097,0.5855,0.8642002781641168
8.0,2.5,1.2,0.5001580599849546,0.4367196367763905,0.1435334910624093,0.5855,0.8646351847457404
8.0,2.5,1.0,0.5000949576730487,0.4367196367763905,0.14298937927304256,0.5855,0.8649268872874833
7.0,2.5,2.5,0.5000030836074886,0.4367196367763905,0.14654514457085518,0.5855,0.8610036257274306
8.0,3.0,2.5,0.49998879412347164,0.4367196367763905,0.14546354620818708,0.5855,0.8620280661540307
7.0,2.5,2.0,0.49997121354758917,0.4367196367763905,0.14564264666150673,0.5855,0.8617786433971812
6.0,2.0,2.0,0.499970577826774,0.4367196367763905,0.14688696189627598,0.5855,0.8605317852791514
6.0,2.0,1.8,0.499966285706818,0.4367196367763905,0.14650794484823473,0.5855,0.8608936338473687
7.0,2.5,1.8,0.499949088094643,0.4367196367763905,0.14524123472792214,0.5855,0.8620915535189811
6.0,2.0,1.5,0.49994812980922304,0.4367196367763905,0.14588828479083302,0.5855,0.8614406703143904
8.0,3.0,2.0,0.4999236186403154,0.4367196367763905,0.14451945497263488,0.5855,0.8627114554569583
5.0,1.5,1.2,0.4999232154024451,0.4367196367763905,0.14671443559844818,0.5855,0.8605148618796636
5.0,1.5,1.5,0.4999199945491448,0.4367196367763905,0.14735820868019467,0.5855,0.8598582053847158
5.0,1.5,1.0,0.4999146486201237,0.4367196367763905,0.146238216508178,0.5855,0.8609568138406481
6.0,2.0,1.2,0.49991322657024007,0.4367196367763905,0.14519645442158824,0.5855,0.8619928877277034
7.0,2.5,1.5,0.4999037700706017,0.4367196367763905,0.14458744525590703,0.5855,0.8625640708948311
8.0,3.0,1.8,0.4998879587665178,0.4367196367763905,0.14410122304919934,0.5855,0.8629870478852032
6.0,2.0,1.0,0.4998787860577029,0.4367196367763905,0.1446876326636657,0.5855,0.8623639474354774
