scenario,saseo,samgyeong,other,score,saseo_purity,separation,marker_diff,p6_def_score
uniform,1.0,1.0,1.0,0.49216277918388573,0.4367196367763905,0.14669134458653973,0.5855,0.8294962080173348
weak,2.0,1.5,1.2,0.4958380476382892,0.4367196367763905,0.1466761104992278,0.5855,0.8442125159222603
moderate,3.0,2.0,1.5,0.4972707989291738,0.4367196367763905,0.1462680886202985,0.5855,0.850351542964728
strong,5.0,3.0,2.0,0.49843787720100624,0.4367196367763905,0.14514904430030182,0.5855,0.8561389003720545
optimal,8.0,1.0,1.0,0.5016539063991494,0.4367196367763905,0.1464049378722036,0.5855,0.8677471235927254
