cluster_id,book_name,size
0,맹자집주,8548
1,맹자집주,13304
2,주역전의(하),11612
3,서경집전(하),8440
4,자치통감강목7,12751
5,시경집전(하),19186
6,서경집전(상),9133
7,주역전의(상),11998
8,당송팔대가문초구양수5,12282
9,논어집주,13175
10,주역전의(하),11140
11,주역전의(하),13923
12,서경집전(하),11449
13,서경집전(하),11425
14,시경집전(상),11837
15,예기집설대전2,11870
16,당송팔대가문초구양수5,9990
17,시경집전(상),11233
18,서경집전(하),11690
19,주역전의(하),13530
20,맹자집주,15979
21,주역전의(하),22218
22,춘추좌씨전1,7030
23,자치통감강목1,11146
