marker,count,doc_freq,num_groups,top_groups,x,y,dominant,method,group_level,reweight_by_corpus
을,2353,2177,176,p9_c8:84;p2_c12:82;p3_c8:63;p9_c0:60;p9_c5:58,-0.23026489,-0.09312162,p9_c8,pca,parent_child,none
하면,2327,2032,154,p2_c12:124;p9_c8:102;p9_c5:83;p13_c2:69;p3_c8:67,-0.23645446,-0.021009102,p2_c12,pca,parent_child,none
라하니,2265,2220,168,p11_c10:100;p13_c9:95;p11_c8:72;p3_c8:70;p3_c4:65,-0.044369828,-0.21108785,p11_c10,pca,parent_child,none
러니,2187,2148,142,p14_c8:155;p2_c13:113;p14_c2:92;p3_c1:70;p14_c12:68,0.21389173,-0.098811574,p14_c8,pca,parent_child,none
로되,2070,1958,161,p3_c8:92;p3_c12:71;p3_c1:69;p14_c8:53;p3_c3:50,-0.21608298,-0.07859222,p3_c8,pca,parent_child,none
이러니,1999,1943,138,p14_c8:143;p2_c13:133;p14_c2:92;p14_c4:69;p3_c1:64,0.24958035,-0.09240959,p14_c8,pca,parent_child,none
이니이다,1913,1729,121,p9_c2:204;p0_c4:173;p9_c5:130;p3_c3:125;p0_c5:110,-0.09510475,0.4794207,p9_c2,pca,parent_child,none
과,1833,1419,146,p3_c8:164;p3_c0:117;p3_c4:82;p3_c12:60;p3_c7:60,-0.22263934,-0.042817608,p3_c8,pca,parent_child,none
이라하니,1821,1764,155,p13_c9:102;p11_c8:65;p14_c6:62;p11_c10:60;p3_c8:53,-0.061867494,-0.19179453,p13_c9,pca,parent_child,none
하시니,1535,1473,152,p3_c1:74;p2_c12:61;p9_c5:51;p3_c8:49;p3_c3:48,-0.21068318,-0.02841787,p3_c1,pca,parent_child,none
와,1481,1152,137,p3_c8:146;p3_c0:71;p3_c4:63;p14_c4:53;p3_c12:41,-0.2205568,-0.07920434,p3_c8,pca,parent_child,none
이니라,1455,1364,158,p6_c15:43;p3_c4:40;p3_c8:39;p13_c0:36;p13_c2:35,-0.21680097,-0.36430344,p6_c15,pca,parent_child,none
리라,1357,1313,153,p8_c5:67;p13_c2:47;p11_c15:43;p2_c12:39;p1_c1:37,-0.1460231,-0.17663668,p8_c5,pca,parent_child,none
호되,1340,1255,146,p2_c13:111;p2_c12:53;p14_c8:52;p3_c7:47;p3_c12:41,0.096457355,-0.06500571,p2_c13,pca,parent_child,none
하나니,1269,1226,147,p13_c2:74;p2_c12:57;p9_c0:37;p9_c8:35;p9_c4:31,-0.323879,-0.15542854,p13_c2,pca,parent_child,none
엔,1259,1028,138,p2_c12:50;p3_c4:48;p3_c3:45;p3_c8:44;p9_c5:40,-0.3464986,-0.039081108,p2_c12,pca,parent_child,none
라하고,1213,1152,120,p11_c10:130;p11_c15:65;p11_c4:65;p3_c4:61;p5_c6:55,0.23897973,-0.14925031,p11_c10,pca,parent_child,none
하라,1188,1141,138,p11_c15:76;p12_c4:53;p12_c11:42;p5_c14:39;p11_c2:33,0.22481288,-0.1361505,p11_c15,pca,parent_child,none
라도,1175,1098,132,p9_c8:84;p9_c7:82;p3_c12:49;p9_c5:42;p3_c8:35,-0.25131908,0.05266791,p9_c8,pca,parent_child,none
이로되,1106,1056,142,p3_c8:54;p3_c12:43;p3_c4:38;p3_c7:34;p14_c8:31,-0.17326495,-0.035906833,p3_c8,pca,parent_child,none
이라도,1082,1008,137,p9_c8:67;p9_c7:60;p3_c12:43;p2_c12:42;p9_c15:40,-0.27018106,0.0907112,p9_c8,pca,parent_child,none
로다,1080,1043,142,p12_c11:76;p12_c10:40;p12_c4:40;p5_c14:40;p3_c12:27,0.06169641,-0.1946007,p12_c11,pca,parent_child,none
하사,1065,902,116,p3_c3:74;p9_c5:61;p3_c1:56;p2_c12:40;p14_c8:38,-0.14271663,0.1640846,p3_c3,pca,parent_child,none
할새,1037,1014,109,p14_c8:62;p2_c13:55;p14_c2:46;p14_c12:40;p11_c3:38,0.34803954,-0.14617163,p14_c8,pca,parent_child,none
