marker,count,doc_freq,num_groups,top_groups,x,y,dominant,method,group_level,reweight_by_corpus
리오하니,65,65,41,p11_c10:4;p1_c1:4;p13_c1:3;p2_c13:3;p3_c1:3,0.11398789,-0.13115135,p11_c10,pca,parent_child,none
라하나이다,64,63,28,p2_c1:8;p0_c2:7;p9_c5:7;p0_c4:3;p3_c8:3,-0.11639694,0.5470591,p2_c1,pca,parent_child,none
라하노이다,63,63,28,p9_c5:8;p0_c4:7;p1_c2:6;p9_c2:5;p0_c5:3,-0.1666421,0.658813,p9_c5,pca,parent_child,none
라하노라,62,62,42,p8_c12:4;p13_c0:3;p8_c7:3;p9_c0:3;p9_c8:3,-0.17953667,-0.17394263,p8_c12,pca,parent_child,none
라하면,60,60,40,p9_c7:4;p7_c11:3;p9_c2:3;p0_c13:2;p11_c10:2,-0.06839943,0.11109954,p9_c7,pca,parent_child,none
호리이다,60,59,35,p0_c2:5;p0_c5:4;p0_c14:3;p0_c3:3;p9_c2:3,0.06865646,0.48552996,p0_c2,pca,parent_child,none
타가,59,57,26,p14_c3:11;p14_c15:10;p11_c15:6;p14_c4:6;p14_c12:2,0.50833595,-0.058007024,p14_c3,pca,parent_child,none
하라하고,59,59,29,p11_c10:8;p11_c15:5;p3_c12:5;p5_c6:5;p11_c3:4,0.45362878,-0.010664297,p11_c10,pca,parent_child,none
하시다,59,56,29,p14_c8:6;p5_c7:5;p7_c5:5;p3_c4:4;p11_c4:3,0.37630397,0.0016495085,p14_c8,pca,parent_child,none
니잇고,58,56,35,p12_c4:4;p6_c11:4;p3_c12:3;p5_c6:3;p6_c9:3,0.11823635,-0.00203525,p12_c4,pca,parent_child,none
러시니,58,57,40,p14_c15:3;p14_c8:3;p3_c14:3;p5_c7:3;p0_c2:2,0.16658773,-0.044186655,p14_c15,pca,parent_child,none
아하니라,58,58,38,p13_c2:4;p8_c2:4;p11_c11:3;p11_c2:3;p11_c8:3,0.03284378,-0.1762691,p13_c2,pca,parent_child,none
언정,58,56,39,p9_c0:4;p11_c15:3;p6_c7:3;p0_c14:2;p11_c11:2,0.07620577,0.02297804,p9_c0,pca,parent_child,none
라하시고,57,54,32,p11_c10:8;p11_c11:4;p9_c0:4;p3_c12:3;p3_c14:3,0.25684112,-0.045392558,p11_c10,pca,parent_child,none
으로도,57,55,40,p3_c4:4;p14_c7:3;p3_c8:3;p13_c2:2;p1_c10:2,-0.12271269,0.16728455,p3_c4,pca,parent_child,none
하실새,57,56,34,p3_c1:5;p11_c11:4;p2_c3:3;p5_c7:3;p7_c10:3,0.022331737,-0.09692745,p3_c1,pca,parent_child,none
이라하나이다,54,54,25,p9_c2:7;p0_c4:5;p0_c5:4;p9_c5:4;p0_c15:3,-0.12976699,0.5575245,p9_c2,pca,parent_child,none
이어니,52,52,32,p5_c14:5;p9_c7:5;p1_c3:3;p6_c6:3;p6_c9:3,0.30408698,-0.06453316,p5_c14,pca,parent_child,none
컨댄,52,52,30,p3_c12:5;p0_c7:4;p9_c5:4;p0_c5:3;p14_c8:3,-0.12665826,0.35478517,p3_c12,pca,parent_child,none
하시되,52,46,35,p9_c4:6;p3_c4:4;p5_c7:4;p9_c8:3;p13_c7:2,-0.15036173,-0.08834701,p9_c4,pca,parent_child,none
로니,51,50,33,p11_c3:4;p3_c1:4;p4_c5:4;p0_c4:3;p14_c7:3,0.02737708,0.13564125,p11_c3,pca,parent_child,none
