marker,count,doc_freq,num_groups,top_groups,x,y,dominant,method,group_level,reweight_by_corpus
이니라,1455,1364,16,p13:148;p1:136;p9:136;p6:135;p5:130,-0.17327863,-0.26723534,p13,pca,parent,none
리라,1357,1313,16,p9:161;p11:154;p8:152;p13:142;p1:127,-0.15567294,-0.19272955,p9,pca,parent,none
호되,1340,1255,16,p2:277;p3:246;p14:190;p11:168;p5:101,0.11012382,0.006390441,p2,pca,parent,none
하나니,1269,1226,15,p9:256;p13:192;p2:131;p0:118;p1:109,-0.301999,-0.09561759,p9,pca,parent,none
엔,1259,1028,15,p9:270;p3:228;p13:145;p2:138;p0:112,-0.26854476,0.016646232,p9,pca,parent,none
라하고,1213,1152,15,p11:430;p3:196;p14:104;p2:97;p9:87,0.21301916,-0.11584436,p11,pca,parent,none
하라,1188,1141,15,p11:280;p5:185;p12:132;p2:113;p1:72,0.23601091,-0.17202683,p11,pca,parent,none
라도,1175,1098,15,p9:369;p3:178;p0:116;p1:112;p2:77,-0.20684269,0.12297189,p9,pca,parent,none
이로되,1106,1056,16,p3:258;p9:176;p14:113;p0:109;p2:86,-0.13341242,0.069166295,p3,pca,parent,none
이라도,1082,1008,15,p9:334;p3:147;p0:126;p1:117;p2:83,-0.2257643,0.1418525,p9,pca,parent,none
로다,1080,1043,15,p12:163;p5:153;p11:148;p3:109;p9:97,0.062725365,-0.14686975,p12,pca,parent,none
하사,1065,902,15,p3:266;p9:196;p2:148;p14:113;p0:99,-0.060128704,0.14344689,p3,pca,parent,none
할새,1037,1014,14,p14:297;p11:169;p3:142;p5:122;p2:117,0.36076546,-0.04430514,p14,pca,parent,none
도,1004,927,16,p9:217;p3:185;p0:96;p13:78;p2:72,-0.18511388,0.045468017,p9,pca,parent,none
잇가,985,934,13,p9:212;p0:210;p3:119;p11:100;p5:67,0.015828155,0.21506341,p9,pca,parent,none
하니이다,984,933,13,p0:217;p3:198;p9:175;p14:143;p2:108,0.053211674,0.33378682,p0,pca,parent,none
이리오,960,935,15,p0:133;p11:129;p9:114;p5:104;p1:98,-0.0016012937,-0.019882098,p0,pca,parent,none
라하니라,950,936,16,p11:166;p13:118;p8:118;p5:80;p3:78,-0.035965145,-0.34131104,p11,pca,parent,none
라가,928,878,16,p14:259;p11:115;p3:115;p2:90;p5:89,0.22436664,0.01263481,p14,pca,parent,none
하되,902,853,15,p9:185;p2:140;p3:126;p14:108;p0:71,-0.055744663,0.097508505,p9,pca,parent,none
며,887,784,16,p9:215;p3:202;p13:106;p0:70;p1:66,-0.27398893,0.037512712,p9,pca,parent,none
이라가,841,809,14,p14:266;p2:112;p3:97;p11:89;p5:78,0.24096757,0.028920166,p14,pca,parent,none
하노라,827,806,16,p11:142;p5:141;p12:101;p14:92;p0:56,0.19018555,-0.14748186,p11,pca,parent,none
어든,824,762,16,p9:169;p2:106;p3:101;p11:86;p1:75,-0.08210785,0.038156077,p9,pca,parent,none
하리니,821,804,14,p9:192;p2:104;p0:101;p11:90;p3:82,-0.11655446,0.08951001,p9,pca,parent,none
러라,792,778,15,p14:229;p5:131;p2:121;p3:113;p11:64,0.26977393,-0.0075810887,p14,pca,parent,none
호대,766,685,16,p9:133;p11:118;p4:100;p5:60;p13:52,-0.07180791,-0.13917816,p9,pca,parent,none
하시고,747,639,15,p3:204;p9:134;p14:104;p2:64;p0:45,-0.030761681,0.09405087,p3,pca,parent,none
컨대,701,690,15,p3:173;p9:118;p0:94;p11:48;p2:48,-0.1122025,0.09796411,p3,pca,parent,none
어니와,675,670,15,p9:151;p3:89;p0:77;p11:69;p1:52,-0.18001238,0.017760005,p9,pca,parent,none
하소서,662,630,15,p11:93;p0:86;p9:83;p5:76;p3:63,0.14715007,0.08650901,p11,pca,parent,none
이라하고,661,615,16,p11:207;p3:126;p14:89;p2:60;p5:47,0.2364093,-0.11068151,p11,pca,parent,none
하리라,658,634,15,p11:196;p7:73;p5:66;p1:47;p12:43,0.2169353,-0.21361037,p11,pca,parent,none
인댄,652,557,15,p9:163;p0:91;p3:65;p11:56;p2:56,-0.17182899,0.050104797,p9,pca,parent,none
일새,650,632,16,p14:136;p3:104;p2:79;p9:63;p5:58,-0.00066791475,-0.028611207,p14,pca,parent,none
리이다,562,545,12,p0:141;p9:141;p11:70;p2:57;p3:54,0.04861837,0.33670244,p0,pca,parent,none
인저,538,519,16,p13:55;p6:52;p5:47;p12:46;p9:44,-0.15021512,-0.29112127,p13,pca,parent,none
이어든,530,477,15,p2:89;p9:87;p3:76;p1:49;p14:46,-0.08246974,0.04165498,p2,pca,parent,none
하여는,524,499,15,p3:104;p2:97;p9:92;p13:68;p0:33,-0.21907759,-0.00052477047,p3,pca,parent,none
이며,520,463,16,p3:134;p13:97;p9:64;p14:43;p0:35,-0.22079778,-0.025119023,p3,pca,parent,none
히,516,489,14,p3:142;p14:91;p9:63;p2:56;p0:44,0.0023980103,0.13841832,p3,pca,parent,none
리니,510,501,15,p9:129;p0:85;p13:48;p3:48;p7:40,-0.2085278,0.08255887,p9,pca,parent,none
이러라,507,501,14,p14:136;p2:90;p5:90;p3:51;p11:47,0.3044471,-0.02175745,p14,pca,parent,none
여,468,418,16,p12:178;p5:85;p3:57;p11:25;p9:23,0.061671037,-0.18480648,p12,pca,parent,none
로라,463,452,15,p11:73;p9:62;p5:56;p0:54;p3:40,0.058863457,-0.032412723,p11,pca,parent,none
이오,463,394,16,p3:88;p9:77;p11:51;p0:38;p13:34,-0.10267737,-0.008372687,p3,pca,parent,none
하노이다,458,452,15,p0:100;p11:77;p2:56;p9:51;p5:45,0.17219022,0.11748505,p0,pca,parent,none
이라하니라,437,432,16,p11:62;p5:56;p8:53;p14:50;p2:38,0.04817954,-0.34596536,p11,pca,parent,none
라하다,424,418,14,p11:234;p5:41;p14:33;p7:26;p2:21,0.4522652,-0.19645329,p11,pca,parent,none
고,394,380,15,p12:65;p11:61;p5:48;p3:41;p9:39,0.066162765,-0.104258716,p12,pca,parent,none
하얀,354,330,14,p9:91;p3:76;p14:60;p0:45;p5:19,-0.039469212,0.27516615,p9,pca,parent,none
의,332,305,16,p3:107;p14:36;p13:28;p2:27;p5:24,-0.0457689,-0.030227138,p3,pca,parent,none
일새라,307,306,16,p6:89;p13:56;p4:30;p9:23;p1:20,-0.27432907,-0.33741367,p6,pca,parent,none
시니라,305,304,16,p8:97;p13:38;p6:38;p2:20;p9:19,-0.3138709,-0.41871685,p8,pca,parent,none
라야,293,282,15,p9:47;p13:44;p3:35;p0:33;p8:26,-0.26136988,-0.08875279,p9,pca,parent,none
이라하여,279,270,13,p2:177;p3:26;p11:16;p5:14;p9:11,0.06345345,-0.08776574,p2,pca,parent,none
하노니,272,269,15,p2:40;p9:36;p5:35;p11:29;p0:25,0.02748759,-0.025308076,p2,pca,parent,none
이로다,269,252,15,p5:58;p12:49;p11:27;p0:22;p3:19,0.121359676,-0.17553657,p5,pca,parent,none
하리이다,267,261,12,p9:62;p0:54;p11:29;p14:22;p3:21,0.097037286,0.26804948,p9,pca,parent,none
로소이다,250,245,14,p9:58;p0:52;p3:34;p14:31;p11:22,0.06641039,0.26269105,p9,pca,parent,none
라하시니,245,244,15,p13:41;p3:38;p9:34;p11:32;p5:19,-0.17442074,-0.16248415,p13,pca,parent,none
이라야,242,231,16,p9:43;p13:37;p3:29;p8:25;p0:23,-0.2971681,-0.09537366,p9,pca,parent,none
이어니와,239,234,15,p9:51;p0:37;p11:35;p3:24;p13:20,-0.14308992,0.011386428,p9,pca,parent,none
하야는,239,225,11,p9:87;p3:67;p14:27;p0:20;p13:11,-0.19749838,0.32398513,p9,pca,parent,none
하시니라,237,236,16,p8:67;p2:26;p5:26;p13:22;p3:17,-0.15310904,-0.40342304,p8,pca,parent,none
라하여,235,233,14,p2:125;p3:35;p11:18;p9:17;p5:13,0.08384751,-0.023041725,p2,pca,parent,none
리잇가,230,228,11,p0:76;p9:65;p3:32;p1:14;p2:12,-0.11625049,0.44645658,p0,pca,parent,none
라하야,223,216,13,p14:54;p11:40;p3:38;p9:29;p5:20,0.26243114,0.11877671,p14,pca,parent,none
이라하야,216,213,14,p14:58;p3:41;p11:29;p9:29;p7:17,0.19081712,0.13802244,p14,pca,parent,none
하시면,210,202,12,p9:56;p0:45;p3:34;p2:28;p11:20,-0.015018173,0.34946358,p9,pca,parent,none
하나니라,207,200,14,p6:57;p9:33;p3:20;p8:16;p5:14,-0.20402572,-0.16964798,p6,pca,parent,none
이라하다,197,196,13,p11:99;p2:26;p14:22;p5:18;p3:11,0.47544107,-0.17580111,p11,pca,parent,none
라한대,196,196,14,p11:94;p2:21;p3:19;p5:16;p14:14,0.4172539,-0.11673172,p11,pca,parent,none
라하니이다,194,192,13,p0:48;p3:35;p11:33;p9:24;p14:16,0.0795802,0.22090232,p0,pca,parent,none
에도,188,184,15,p3:38;p9:28;p0:20;p13:19;p2:19,-0.16975689,0.0072922334,p3,pca,parent,none
하시며,181,129,11,p3:69;p9:34;p14:23;p2:20;p1:16,-0.06500475,0.23597986,p3,pca,parent,none
호니,178,175,15,p3:39;p11:33;p0:21;p9:20;p14:16,0.09798793,0.10858935,p3,pca,parent,none
ᄂ저,176,170,14,p11:43;p7:25;p3:19;p0:18;p5:18,0.1437209,-0.13522428,p11,pca,parent,none
잇고,167,165,12,p6:38;p11:27;p5:22;p12:17;p9:14,0.16714603,-0.0462149,p6,pca,parent,none
ㄴ저,165,162,16,p11:32;p9:22;p3:17;p0:14;p5:12,0.012751956,-0.122479185,p11,pca,parent,none
이리라,165,165,15,p9:28;p11:26;p0:16;p1:16;p7:16,-0.033078283,-0.052528456,p9,pca,parent,none
로대,159,150,13,p9:27;p0:26;p14:21;p3:16;p7:12,-0.08917215,0.10872464,p9,pca,parent,none
이온,154,154,15,p3:25;p0:21;p9:20;p1:17;p2:17,-0.056334898,0.10153401,p3,pca,parent,none
