,라,하고,하여,하니,에,이,는,하야,하다,은,이라,니,로,요,이요,이면,면,이니,니라,하며,가,어늘,한대,아,이나,이어늘,니이다,하니라,으로,러니,이러니,나,를,오,리오,하면,을,호되,로다,라하니,과,로되,이니이다,이니라,러라,할새,이라하니,와,리라,하시니
君,745,669,529,624,478,751,719,514,144,478,277,246,99,160,187,230,187,116,115,79,113,63,43,135,69,70,69,56,95,22,17,45,52,71,38,29,56,18,45,38,40,32,23,29,15,7,32,32,18,23
矣,3277,15,14,43,32,19,33,29,2,3,5,961,8,554,2,0,89,1,725,3,1,235,5,29,23,0,396,7,0,64,0,196,8,46,25,0,1,0,488,140,1,260,3,2,113,0,0,0,829,4
使,468,1181,901,754,215,285,130,677,742,64,109,100,506,104,47,211,238,61,62,83,68,91,338,78,29,83,88,55,596,121,77,29,33,22,15,57,23,53,13,26,19,15,42,10,23,20,17,18,6,33
中,560,907,980,792,692,603,269,454,468,290,406,159,112,122,190,170,61,136,66,75,65,43,71,38,69,110,32,67,183,42,103,31,31,8,9,25,31,29,15,17,52,14,20,26,18,23,26,26,14,17
能,1178,839,714,660,43,118,321,402,87,95,458,250,76,218,189,296,349,173,202,108,36,87,9,350,120,55,124,63,43,36,62,106,38,27,237,52,22,16,32,39,17,64,37,50,56,2,33,13,58,10
上,522,941,989,814,341,998,280,436,177,392,331,125,82,121,131,151,76,127,52,103,48,60,114,26,43,81,37,73,86,27,52,20,36,5,8,42,35,141,7,17,29,20,19,31,21,28,23,24,4,32
如,1081,523,456,818,186,149,270,344,334,137,251,127,34,163,98,182,531,100,189,122,50,93,35,95,56,22,109,198,9,36,20,65,46,288,75,47,30,7,68,59,18,61,38,30,69,18,27,23,20,47
然,718,517,602,514,855,270,433,454,171,195,417,123,64,87,90,293,104,110,133,51,80,47,14,147,1472,49,88,65,19,26,34,126,50,43,31,33,25,16,21,15,12,16,40,52,42,5,16,11,24,23
謂,1548,178,194,131,80,238,477,102,1,130,360,351,34,322,271,36,33,241,181,13,73,32,8,121,21,12,110,8,21,24,17,47,45,75,38,3,16,59,125,63,16,38,17,27,7,0,41,16,3,5
皆,1300,779,609,910,60,71,53,358,579,34,558,287,74,201,161,56,46,179,157,58,12,137,49,22,77,121,116,168,32,69,68,80,7,6,4,8,4,85,9,40,7,125,56,42,111,8,39,7,29,9
將,340,747,1150,506,420,864,86,447,461,188,166,105,93,68,63,64,70,70,47,23,85,122,195,110,40,107,33,24,140,152,89,28,15,81,67,15,18,41,22,35,37,15,37,14,13,166,26,21,85,18
知,1217,927,338,454,119,178,324,356,133,75,252,192,50,279,121,137,213,68,258,99,61,78,25,149,75,30,166,32,16,92,39,144,14,52,101,27,8,8,85,42,37,85,27,24,54,9,17,34,40,10
臣,411,503,474,445,371,964,382,518,76,477,244,118,109,93,123,118,63,119,38,54,88,57,50,44,78,58,179,17,175,22,37,53,35,16,14,31,48,39,8,25,55,17,52,21,3,38,31,33,4,33
三,361,562,460,530,1176,336,386,295,254,399,526,122,102,128,224,95,61,173,42,38,53,46,44,24,54,61,44,57,72,27,64,32,40,13,7,26,50,42,14,20,85,24,21,14,23,12,23,40,6,15
二,415,427,475,504,1411,251,496,266,169,165,579,129,119,188,235,76,68,117,50,20,63,39,38,19,42,37,38,47,90,25,40,36,43,17,10,44,28,15,12,9,64,27,17,16,17,4,9,78,5,6
十,407,393,346,348,2235,201,111,231,156,103,849,99,83,145,305,73,31,178,23,26,31,31,21,10,32,34,22,43,68,29,65,10,18,1,2,20,30,19,1,14,141,28,23,17,41,4,18,82,2,10
年,326,225,176,237,2528,113,57,173,86,102,1503,48,94,40,305,68,21,70,13,18,15,17,20,11,35,31,19,37,41,19,42,17,11,3,2,9,25,18,4,12,26,23,17,15,28,8,21,3,8,3
行,634,646,645,516,399,274,209,462,285,241,279,146,35,125,124,219,128,115,69,116,50,47,67,55,63,67,60,51,32,38,57,39,58,10,18,46,43,28,17,25,30,27,37,35,11,32,33,6,21,39
道,1063,627,670,485,222,198,637,311,119,93,176,290,106,259,62,82,213,56,179,57,84,69,35,69,31,39,67,49,29,34,32,78,55,19,43,36,21,18,22,34,12,38,9,11,11,21,13,25,23,13
國,410,598,526,553,383,562,250,344,260,291,302,130,55,89,146,130,69,141,59,63,81,66,32,50,49,91,70,55,64,23,48,34,58,21,24,17,52,19,17,22,35,25,27,42,7,12,27,29,12,16
後,543,363,328,462,1928,244,268,281,151,88,210,134,172,105,53,58,112,66,128,57,74,47,38,46,17,30,47,61,27,33,33,28,38,14,24,17,15,10,25,40,9,22,16,26,21,21,16,24,25,12
夫,519,560,322,264,317,317,949,276,298,478,120,138,134,107,74,109,129,50,52,64,143,49,43,74,30,31,24,36,81,20,20,34,44,21,57,10,31,20,34,27,52,43,16,5,9,18,6,66,9,39
