w_saseo,w_samgyeong,w_other_gyeong,avg_entropy,original_canonicity
1.0,1.0,1.0,4.263216501281624,11.03328292189259
2.0,1.0,1.0,4.176720937945671,11.03328292189259
2.0,1.5,1.0,4.169471513437182,11.03328292189259
2.0,1.5,1.5,4.1402840230937095,11.03328292189259
2.0,2.0,1.0,4.14924963885694,11.03328292189259
2.0,2.0,1.5,4.1273297203819945,11.03328292189259
2.0,2.0,2.0,4.093381533869884,11.03328292189259
3.0,1.0,1.0,4.0804589916037495,11.03328292189259
3.0,1.5,1.0,4.081125341964441,11.03328292189259
3.0,1.5,1.5,4.066868771919522,11.03328292189259
3.0,2.0,1.0,4.068969650744982,11.03328292189259
3.0,2.0,1.5,4.060308680318585,11.03328292189259
3.0,2.0,2.0,4.037494701225363,11.03328292189259
3.0,2.5,1.0,4.049483721472116,11.03328292189259
3.0,2.5,1.5,4.046103937998699,11.03328292189259
3.0,2.5,2.0,4.027801370919506,11.03328292189259
3.0,2.5,2.5,4.002417769084896,11.03328292189259
3.0,3.0,1.0,4.025573765967995,11.03328292189259
3.0,3.0,1.5,4.027092328741817,11.03328292189259
3.0,3.0,2.0,4.013069167912235,11.03328292189259
3.0,3.0,2.5,3.991329834597152,11.03328292189259
3.0,3.0,3.0,3.96566761376667,11.03328292189259
4.0,1.0,1.0,3.987694687576253,11.03328292189259
4.0,1.5,1.0,3.9938096338128153,11.03328292189259
4.0,1.5,1.5,3.991459235142443,11.03328292189259
4.0,2.0,1.0,3.987602659305553,11.03328292189259
4.0,2.0,1.5,3.989612829738462,11.03328292189259
4.0,2.0,2.0,3.9761741041419802,11.03328292189259
4.0,2.5,1.0,3.9740468096540322,11.03328292189259
4.0,2.5,1.5,3.9802148622886704,11.03328292189259
4.0,2.5,2.0,3.9704535974627784,11.03328292189259
4.0,2.5,2.5,3.9524855721051777,11.03328292189259
4.0,3.0,1.0,3.955846880370957,11.03328292189259
4.0,3.0,1.5,3.9658986626477364,11.03328292189259
4.0,3.0,2.0,3.9596475090570227,11.03328292189259
4.0,3.0,2.5,3.944739249410429,11.03328292189259
4.0,3.0,3.0,3.9250251794311013,11.03328292189259
