시나리오,평균_가중_Canonicity,최대_가중_Canonicity,평균_장르_엔트로피,평균_Top_마커_비율
uniform,14.32,50.0,4.2632,0.0
weak,20.9,64.42,4.1599,0.0
moderate,24.97,71.96,4.0603,0.0
strong,30.44,79.51,3.9041,0.0
inverse,5.79,37.74,4.3376,0.0
