cluster_id_pa,cluster_id_sa,weight
3,0,1.0
3,4,3.0
3,5,6.0
3,8,4.0
3,10,16.0
3,13,19.0
3,14,1.0
3,15,28.0
4,4,1.0
4,5,2.0
4,13,2.0
5,12,1.0
9,0,1.0
10,3,40.0
10,7,1.0
10,8,5.0
10,13,15.0
12,9,1.0
12,13,4.0
12,15,5.0
14,0,1.0
14,4,3.0
14,5,6.0
14,6,15.0
14,8,4.0
14,10,4.0
14,13,8.0
14,14,1.0
14,15,20.0
