표층형,*,*,*,품사태그,의미부류,종성 유무,읽기,*,*,*,*,*
架閣庫,*,*,*,NNG,*,F,가각고,*,*,*,*,*
家刻本,*,*,*,NNG,*,T,가각본,*,*,*,*,*
苛刻하다,*,*,*,VA,*,F,가각하다,*,*,*,*,*
苛刻히,*,*,*,MAG,*,F,가각히,*,*,*,*,*
家間,*,*,*,NNG,*,T,가간,*,*,*,*,*
家間事,*,*,*,NNG,*,F,가간사,*,*,*,*,*
家間事,*,*,*,NNG,*,F,가간사,*,*,*,*,*
家間什物,*,*,*,NNG,*,T,가간집물,*,*,*,*,*
加減,*,*,*,NNG,*,T,가감,*,*,*,*,*
可堪,*,*,*,NNG,*,T,가감,*,*,*,*,*
加減,*,*,*,NNG,*,T,가감,*,*,*,*,*
加減되다,*,*,*,VV,*,F,가감되다,*,*,*,*,*
加減例,*,*,*,NNG,*,F,가감례,*,*,*,*,*
加減法,*,*,*,NNG,*,T,가감법,*,*,*,*,*
加減法,*,*,*,NNG,*,T,가감법,*,*,*,*,*
加減瓣▽,*,*,*,NNG,*,T,가감변,*,*,*,*,*
加減不得,*,*,*,NNG,*,T,가감부득,*,*,*,*,*
加減算,*,*,*,NNG,*,T,가감산,*,*,*,*,*
加減消去法,*,*,*,NNG,*,T,가감소거법,*,*,*,*,*
加減順序,*,*,*,NNG,*,F,가감순서,*,*,*,*,*
加減乘除,*,*,*,NNG,*,F,가감승제,*,*,*,*,*
加減乘合題,*,*,*,NNG,*,F,가감승합제,*,*,*,*,*
假監役,*,*,*,NNG,*,T,가감역,*,*,*,*,*
假監役官,*,*,*,NNG,*,T,가감역관,*,*,*,*,*
加減隱諱,*,*,*,NNG,*,F,가감은휘,*,*,*,*,*
加減抵抗器,*,*,*,NNG,*,F,가감저항기,*,*,*,*,*
加減罪例,*,*,*,NNG,*,F,가감죄례,*,*,*,*,*
可堪之人,*,*,*,NNG,*,T,가감지인,*,*,*,*,*
加減蓄電器,*,*,*,NNG,*,F,가감축전기,*,*,*,*,*
加減瓣,*,*,*,NNG,*,T,가감판,*,*,*,*,*
可堪하다,*,*,*,VA,*,F,가감하다,*,*,*,*,*
加減하다,*,*,*,VV,*,F,가감하다,*,*,*,*,*
加減合題,*,*,*,NNG,*,F,가감합제,*,*,*,*,*
加減刑,*,*,*,NNG,*,T,가감형,*,*,*,*,*
加強,*,*,*,NNG,*,T,가강,*,*,*,*,*
加強하다,*,*,*,VA,*,F,가강하다,*,*,*,*,*
加強히,*,*,*,MAG,*,F,가강히,*,*,*,*,*
佳客,*,*,*,NNG,*,T,가객,*,*,*,*,*
歌客,*,*,*,NNG,*,T,가객,*,*,*,*,*
家居,*,*,*,NNG,*,F,가거,*,*,*,*,*
家居,*,*,*,NNG,*,F,가거,*,*,*,*,*
假居,*,*,*,NNG,*,F,가거,*,*,*,*,*
街渠,*,*,*,NNG,*,F,가거,*,*,*,*,*
可居之地,*,*,*,NNG,*,F,가거지지,*,*,*,*,*
可居處,*,*,*,NNG,*,F,가거처,*,*,*,*,*
家居하다,*,*,*,VV,*,F,가거하다,*,*,*,*,*
家居하다,*,*,*,VV,*,F,가거하다,*,*,*,*,*
假居하다,*,*,*,VV,*,F,가거하다,*,*,*,*,*
假建物,*,*,*,NNG,*,T,가건물,*,*,*,*,*
假建築,*,*,*,NNG,*,T,가건축,*,*,*,*,*
可檢物,*,*,*,NNG,*,T,가검물,*,*,*,*,*
가게거밋科,*,*,*,NNG,*,F,가게거밋과,*,*,*,*,*
가겟房,*,*,*,NNG,*,T,가겟방,*,*,*,*,*
가겟房,*,*,*,NNG,*,T,가겟방,*,*,*,*,*
가겟房,*,*,*,NNG,*,T,가겟방,*,*,*,*,*
가겟貰,*,*,*,NNG,*,F,가겟세,*,*,*,*,*
加擊,*,*,*,NNG,*,T,가격,*,*,*,*,*
價格,*,*,*,NNG,*,T,가격,*,*,*,*,*
家格,*,*,*,NNG,*,T,가격,*,*,*,*,*
價格決定論,*,*,*,NNG,*,T,가격결정론,*,*,*,*,*
價格景氣,*,*,*,NNG,*,F,가격경기,*,*,*,*,*
價格競爭,*,*,*,NNG,*,T,가격경쟁,*,*,*,*,*
價格空間,*,*,*,NNG,*,T,가격공간,*,*,*,*,*
價格機構,*,*,*,NNG,*,F,가격기구,*,*,*,*,*
價格帶,*,*,*,NNG,*,F,가격대,*,*,*,*,*
價格對性能比,*,*,*,NNG,*,F,가격대성능비,*,*,*,*,*
價格變動準備金,*,*,*,NNG,*,T,가격변동준비금,*,*,*,*,*
價格變動充當金,*,*,*,NNG,*,T,가격변동충당금,*,*,*,*,*
價格分析,*,*,*,NNG,*,T,가격분석,*,*,*,*,*
價格分割,*,*,*,NNG,*,T,가격분할,*,*,*,*,*
價格先導制,*,*,*,NNG,*,F,가격선도제,*,*,*,*,*
價格訴求,*,*,*,NNG,*,F,가격소구,*,*,*,*,*
價格水準,*,*,*,NNG,*,T,가격수준,*,*,*,*,*
價格時點,*,*,*,NNG,*,T,가격시점,*,*,*,*,*
價格逆指定注文,*,*,*,NNG,*,T,가격역지정주문,*,*,*,*,*
價格連動制,*,*,*,NNG,*,F,가격연동제,*,*,*,*,*
價格優先의原則,*,*,*,NNG,*,T,가격우선의원칙,*,*,*,*,*
價格維持制度,*,*,*,NNG,*,F,가격유지제도,*,*,*,*,*
價格의一元化,*,*,*,NNG,*,F,가격의일원화,*,*,*,*,*
價格indexation,*,*,*,NNG,*,T,가격인덱세이션,*,*,*,*,*
價格indexation,*,*,*,NNG,*,T,가격인덱세이션,*,*,*,*,*
價格自由化,*,*,*,NNG,*,F,가격자유화,*,*,*,*,*
價格政策,*,*,*,NNG,*,T,가격정책,*,*,*,*,*
價格政策,*,*,*,NNG,*,T,가격정책,*,*,*,*,*
價格制,*,*,*,NNG,*,F,가격제,*,*,*,*,*
價格指數,*,*,*,NNG,*,F,가격지수,*,*,*,*,*
價格差等,*,*,*,NNG,*,T,가격차등,*,*,*,*,*
價格差補給金,*,*,*,NNG,*,T,가격차보급금,*,*,*,*,*
價格差異,*,*,*,NNG,*,F,가격차이,*,*,*,*,*
價格差益,*,*,*,NNG,*,T,가격차익,*,*,*,*,*
價格差益金,*,*,*,NNG,*,T,가격차익금,*,*,*,*,*
價格體系,*,*,*,NNG,*,F,가격체계,*,*,*,*,*
價格Kartell,*,*,*,NNG,*,T,가격카르텔,*,*,*,*,*
價格彈力性,*,*,*,NNG,*,T,가격탄력성,*,*,*,*,*
價格統制,*,*,*,NNG,*,F,가격통제,*,*,*,*,*
價格幅制限,*,*,*,NNG,*,T,가격폭제한,*,*,*,*,*
價格表,*,*,*,NNG,*,F,가격표,*,*,*,*,*
價格表,*,*,*,NNG,*,F,가격표,*,*,*,*,*
價格表記郵便物,*,*,*,NNG,*,T,가격표기우편물,*,*,*,*,*
加擊하다,*,*,*,VV,*,F,가격하다,*,*,*,*,*
價格革命,*,*,*,NNG,*,T,가격혁명,*,*,*,*,*
價格現實化,*,*,*,NNG,*,F,가격현실화,*,*,*,*,*
價格協定Kartell,*,*,*,NNG,*,T,가격협정카르텔,*,*,*,*,*
價格效果,*,*,*,NNG,*,F,가격효과,*,*,*,*,*
加譴,*,*,*,NNG,*,T,가견,*,*,*,*,*
加譴하다,*,*,*,VV,*,F,가견하다,*,*,*,*,*
可決,*,*,*,NNG,*,T,가결,*,*,*,*,*
可缺,*,*,*,NNG,*,T,가결,*,*,*,*,*
加結,*,*,*,NNG,*,T,가결,*,*,*,*,*
加結,*,*,*,NNG,*,T,가결,*,*,*,*,*
可決되다,*,*,*,VV,*,F,가결되다,*,*,*,*,*
加結되다,*,*,*,VV,*,F,가결되다,*,*,*,*,*
可決案,*,*,*,NNG,*,T,가결안,*,*,*,*,*
假決議,*,*,*,NNG,*,F,가결의,*,*,*,*,*
假決議,*,*,*,NNG,*,F,가결의,*,*,*,*,*
假決議되다,*,*,*,VV,*,F,가결의되다,*,*,*,*,*
假決議되다,*,*,*,VV,*,F,가결의되다,*,*,*,*,*
假決議하다,*,*,*,VV,*,F,가결의하다,*,*,*,*,*
假決議하다,*,*,*,VV,*,F,가결의하다,*,*,*,*,*
加結錢,*,*,*,NNG,*,T,가결전,*,*,*,*,*
可決하다,*,*,*,VV,*,F,가결하다,*,*,*,*,*
加結하다,*,*,*,VV,*,F,가결하다,*,*,*,*,*
加敬,*,*,*,NNG,*,T,가경,*,*,*,*,*
佳景,*,*,*,NNG,*,T,가경,*,*,*,*,*
佳境,*,*,*,NNG,*,T,가경,*,*,*,*,*
佳境,*,*,*,NNG,*,T,가경,*,*,*,*,*
家慶,*,*,*,NNG,*,T,가경,*,*,*,*,*
嘉慶,*,*,*,NNG,*,T,가경,*,*,*,*,*
嘉慶,*,*,*,NNG,*,T,가경,*,*,*,*,*
歌磬,*,*,*,NNG,*,T,가경,*,*,*,*,*
可驚,*,*,*,NNG,*,T,가경,*,*,*,*,*
嘉慶日,*,*,*,NNG,*,T,가경일,*,*,*,*,*
可敬者,*,*,*,NNG,*,F,가경자,*,*,*,*,*
嘉慶子,*,*,*,NNG,*,F,가경자,*,*,*,*,*
可敬者,*,*,*,NNG,*,F,가경자,*,*,*,*,*
加耕田,*,*,*,NNG,*,T,가경전,*,*,*,*,*
嘉慶節,*,*,*,NNG,*,T,가경절,*,*,*,*,*
可耕地,*,*,*,NNG,*,F,가경지,*,*,*,*,*
可驚하다,*,*,*,VA,*,F,가경하다,*,*,*,*,*
家繼,*,*,*,NNG,*,F,가계,*,*,*,*,*
家鷄,*,*,*,NNG,*,F,가계,*,*,*,*,*
家計,*,*,*,NNG,*,F,가계,*,*,*,*,*
家計,*,*,*,NNG,*,F,가계,*,*,*,*,*
家計,*,*,*,NNG,*,F,가계,*,*,*,*,*
家契,*,*,*,NNG,*,F,가계,*,*,*,*,*
家系,*,*,*,NNG,*,F,가계,*,*,*,*,*
加計,*,*,*,NNG,*,F,가계,*,*,*,*,*
加計,*,*,*,NNG,*,F,가계,*,*,*,*,*
加筓,*,*,*,NNG,*,F,가계,*,*,*,*,*
加階,*,*,*,NNG,*,F,가계,*,*,*,*,*
加髻,*,*,*,NNG,*,F,가계,*,*,*,*,*
家戒,*,*,*,NNG,*,F,가계,*,*,*,*,*
家計經濟,*,*,*,NNG,*,F,가계경제,*,*,*,*,*
家系圖,*,*,*,NNG,*,F,가계도,*,*,*,*,*
加階되다,*,*,*,VV,*,F,가계되다,*,*,*,*,*
加筓禮,*,*,*,NNG,*,F,가계례,*,*,*,*,*
家計米價,*,*,*,NNG,*,F,가계미가,*,*,*,*,*
家計保險,*,*,*,NNG,*,T,가계보험,*,*,*,*,*
家計簿,*,*,*,NNG,*,F,가계부,*,*,*,*,*
家計簿記,*,*,*,NNG,*,F,가계부기,*,*,*,*,*
家系分析,*,*,*,NNG,*,T,가계분석,*,*,*,*,*
家計費,*,*,*,NNG,*,F,가계비,*,*,*,*,*
家計빚,*,*,*,NNG,*,T,가계빚,*,*,*,*,*
家系選拔法,*,*,*,NNG,*,T,가계선발법,*,*,*,*,*
家計所得,*,*,*,NNG,*,T,가계소득,*,*,*,*,*
家計手票,*,*,*,NNG,*,F,가계수표,*,*,*,*,*
假契約,*,*,*,NNG,*,T,가계약,*,*,*,*,*
假契約되다,*,*,*,VV,*,F,가계약되다,*,*,*,*,*
假契約하다,*,*,*,VV,*,F,가계약하다,*,*,*,*,*
