hanja,hyeonto,cooccur_count,hanja_count,hyeonto_count,pmi
欲,오,12,3821,2241,-0.962
子,러라,30,17119,1251,-0.963
先,나,22,3097,5073,-0.963
能,가,26,5699,3256,-0.963
此,하라,9,8103,794,-0.965
夫,오,18,5744,2241,-0.965
侯,하니라,16,4218,2711,-0.965
日,로다,5,3756,952,-0.966
太,를,16,3822,2996,-0.967
上,로되,15,5497,1954,-0.967
上,가,25,5497,3256,-0.967
臣,호대,7,6439,778,-0.967
夫,니라,34,5744,4236,-0.967
用,어든,5,4385,817,-0.968
也,에,776,26664,20869,-0.969
可,가,42,9245,3256,-0.969
二,라가,10,5144,1394,-0.969
公,아,47,11407,2954,-0.969
民,하라,4,3618,794,-0.972
夫,러라,10,5744,1251,-0.972
月,엔,4,4062,708,-0.973
得,하다,119,6911,12378,-0.973
四,라하니라,3,3183,678,-0.974
日,가,17,3756,3256,-0.974
王,니,88,8165,7760,-0.975
王,하라,9,8165,794,-0.976
未,를,18,4332,2996,-0.977
無,하노라,10,9706,743,-0.978
月,라,169,4062,30042,-0.979
日,한대,13,3756,2501,-0.98
晉,니라,19,3243,4236,-0.981
不,하다,625,36502,12378,-0.981
者,나,148,21101,5073,-0.982
二,하다,88,5144,12378,-0.982
行,하여는,5,4901,738,-0.982
四,하면,5,3183,1137,-0.983
二,나,36,5144,5073,-0.985
自,로다,10,7614,952,-0.985
將,를,22,5323,2996,-0.985
無,도,8,9706,599,-0.989
大,리오,26,9361,2019,-0.989
也,나,186,26664,5073,-0.99
是,도,6,7292,599,-0.991
晉,는,91,3243,20443,-0.992
此,하여,428,8103,38494,-0.993
州,니,42,3948,7760,-0.994
以,하여는,35,34619,738,-0.995
兵,리라,5,4184,872,-0.995
今,하니라,19,5115,2711,-0.995
臣,하며,31,6439,3517,-0.996
則,하시니,8,9567,611,-0.997
三,라하고,9,5380,1225,-1.0
臣,러라,11,6439,1251,-1.0
能,로,58,5699,7466,-1.002
知,한대,21,6165,2501,-1.003
可,하라,10,9245,794,-1.003
然,이,115,6302,13390,-1.003
然,어든,7,6302,817,-1.006
爲,엔,22,22901,708,-1.009
使,니라,42,7315,4236,-1.01
王,호되,11,8165,995,-1.012
從,이,60,3309,13390,-1.012
故,에,195,6906,20869,-1.013
皆,잇가,5,5714,647,-1.014
至,가,29,6585,3256,-1.014
將,러라,9,5323,1251,-1.015
爲,와,74,22901,2395,-1.017
晉,면,36,3243,8230,-1.018
故,며,7,6906,752,-1.019
天,하노라,9,9000,743,-1.021
