cluster_id,라,하다,니이다,하니,아,니라,니,리오,하니라,는,하고,요,어늘,오,러니,라하니,가,라하니라,러라,리라,한대,로다,하라,하야,하니이다,하여,에,잇가,나,하며
0,0.5508221225710015,0.013452914798206279,0.016816143497757848,0.055680119581464876,0.051195814648729444,0.01905829596412556,0.007100149476831091,0.01943198804185351,0.026532137518684603,0.014573991031390135,0.02727952167414051,0.01233183856502242,0.01569506726457399,0.0171898355754858,0.010089686098654708,0.009715994020926755,0.013079222720478326,0.00523168908819133,0.007847533632286996,0.005979073243647235,0.002615844544095665,0.025037369207772796,0.008221225710014948,0.01233183856502242,0.006352765321375187,0.016068759342301942,0.011210762331838564,0.0018684603886397607,0.011210762331838564,0.005979073243647235
1,0.5019203072491598,0.01944311089774364,0.024483917426788286,0.052808449351896304,0.03504560729716755,0.04248679788766203,0.01872299567930869,0.014162265962554009,0.04944791166586654,0.027604416706673067,0.021363418146903505,0.013922227556409025,0.012722035525684109,0.009841574651944312,0.018242918867018725,0.012481997119539127,0.011521843494959194,0.014882381180988958,0.015602496399423908,0.005760921747479597,0.003840614498319731,0.011521843494959194,0.0031204992798847817,0.009361497839654344,0.008641382621219395,0.008401344215074411,0.010801728276524244,0.0043206913106096975,0.013202112337974076,0.0043206913106096975
2,0.3064155761251197,0.12208745611235237,0.043728056176188954,0.056335780402170445,0.04388764762208745,0.024417491222470476,0.011969358442387489,0.03447175231407597,0.024098308330673477,0.008298755186721992,0.02106607085860198,0.008617938078518992,0.03622725821895947,0.024736674114267474,0.028247685924034472,0.021704436642195978,0.021704436642195978,0.008617938078518992,0.014522821576763486,0.014044047239067986,0.02856686881583147,0.012767315671879987,0.024896265560165973,0.00893712097031599,0.012607724225981488,0.01021385253750399,0.008777529524417491,0.009575486753909991,0.004628151931056495,0.003830194701563996
3,0.45668827342368884,0.004517776468277352,0.013749754468670203,0.030249459831074445,0.041838538597525045,0.06973089766254174,0.03574936161854252,0.03437438617167551,0.00785700255352583,0.09526615596150069,0.011785503830288745,0.018660381064623845,0.008642702808878413,0.019053231192300138,0.001571400510705166,0.016499705362404242,0.023178157532901197,0.010803378511098017,0.000785700255352583,0.01060695344725987,0.009624828128069142,0.013749754468670203,0.0029463759575721863,0.0013749754468670202,0.000785700255352583,0.009035552936554704,0.020624631703005304,0.00923197800039285,0.01060695344725987,0.010410528383421725
4,0.5914277762315614,0.004453103256331756,0.029640968549958253,0.02449206790982466,0.06498747564709156,0.03979961035346507,0.039521291399944335,0.05051489006401336,0.00584469802393543,0.022543835235179516,0.008627887559142778,0.014750904536598943,0.004313943779571389,0.019343167269691066,0.001113275814082939,0.00584469802393543,0.0052880601168939605,0.006123016977456165,0.0016699137211244085,0.012385193431672697,0.00013915947676036738,0.008906206512663512,0.007653771221820206,0.003896465349290287,0.0023657111049262456,0.004592262733092123,0.002226551628165878,0.005427219593654328,0.008767047035903145,0.003339827442248817
5,0.7521994134897361,0.027126099706744868,0.011730205278592375,0.021627565982404694,0.006964809384164223,0.007331378299120235,0.019428152492668622,0.0010997067448680353,0.03848973607038123,0.015029325513196481,0.011363636363636364,0.018328445747800588,0.004398826979472141,0.0021994134897360706,0.002565982404692082,0.007331378299120235,0.0021994134897360706,0.019794721407624633,0.006231671554252199,0.002565982404692082,0.0010997067448680353,0.0036656891495601175,0.0010997067448680353,0.0032991202346041057,0.0032991202346041057,0.002932551319648094,0.0018328445747800588,0.00036656891495601173,0.0010997067448680353,0.0032991202346041057
6,0.4995186136071887,0.00417201540436457,0.09964698331193839,0.041880616174582795,0.04990372272143774,0.05343388960205391,0.0279204107830552,0.03626444159178434,0.012836970474967908,0.008023106546854942,0.01235558408215661,0.012676508344030809,0.010590500641848523,0.01813222079589217,0.007220795892169448,0.010911424903722721,0.009306803594351733,0.006097560975609756,0.0035301668806161745,0.007060333761232349,0.0017650834403080873,0.00850449293966624,0.0035301668806161745,0.006418485237483954,0.014602053915275994,0.007862644415917844,0.0036906290115532735,0.010911424903722721,0.006258023106546855,0.004974326059050065
7,0.3620969612618882,0.23892368360009278,0.022268615170494086,0.04314544189283229,0.0041753653444676405,0.008118765947575969,0.0055671537926235215,0.003247506379030387,0.0883785664578984,0.0027835768963117608,0.03920204128972396,0.009046624913013222,0.020876826722338204,0.0020876826722338203,0.03224309904894456,0.006958942240779402,0.003943400603108328,0.003943400603108328,0.03224309904894456,0.0027835768963117608,0.01368591974019949,0.002319647413593134,0.0055671537926235215,0.01368591974019949,0.008350730688935281,0.008118765947575969,0.0071909069821387145,0.001159823706796567,0.001159823706796567,0.006726977499420088
8,0.3077919274767969,0.18843082236132097,0.049859702136844375,0.05266565939995683,0.020936758040146775,0.05050723073602417,0.018130800777034318,0.020720915173753508,0.029354629829484134,0.0032376429958989855,0.03172890135981006,0.010792143319663286,0.04122598748111375,0.015972372113101662,0.02352687243686596,0.009281243254910426,0.005611914526224908,0.006259443125404706,0.008417871789337363,0.017267429311461257,0.022015972372113102,0.004964385927045111,0.013166414849989207,0.016404057845888192,0.009281243254910426,0.0047485430606518456,0.0045327001942585795,0.005180228793438377,0.004101014461472048,0.0038851715950787825
9,0.43119546915658963,0.006581968467778968,0.12582274605847238,0.038420327567733045,0.05051278126435022,0.03459360171437318,0.04729833154752793,0.04209398438695852,0.010714832389407623,0.007653451706719731,0.017143731823052198,0.021123526710546455,0.011480177560079597,0.01392928210622991,0.0038267258533598654,0.012551660799020358,0.006122761365375784,0.007194244604316547,0.007347313638450942,0.011327108525945201,0.0010714832389407624,0.005816623297106995,0.012092453696617175,0.011020970457676412,0.015000765345170673,0.006275830399510179,0.0026021735802847085,0.018062146027858564,0.009184142048063677,0.01193938466248278
10,0.9197827773467805,0.004034134988363072,0.0009309542280837859,0.0037238169123351436,0.009464701318851822,0.002948021722265322,0.00899922420480993,0.0006206361520558572,0.004344453064391001,0.009309542280837859,0.0032583397982932504,0.014584949573312645,0.0001551590380139643,0.003568657874321179,0.0003103180760279286,0.0006206361520558572,0.0013964313421256788,0.0021722265321955005,0.0006206361520558572,0.0003103180760279286,0.0,0.002482544608223429,0.0026377036462373934,0.0006206361520558572,0.0,0.0007757951900698216,0.0018619084561675718,0.0001551590380139643,0.0001551590380139643,0.0001551590380139643
11,0.33349814585908527,0.3406674907292954,0.0103831891223733,0.044746600741656366,0.007169344870210136,0.023733003708281828,0.005686032138442522,0.004449938195302843,0.03955500618046971,0.0029666254635352285,0.04029666254635352,0.007169344870210136,0.023980222496909766,0.003955500618046972,0.028677379480840544,0.00519159456118665,0.003955500618046972,0.004944375772558714,0.012608158220024722,0.001977750309023486,0.017058096415327566,0.000988875154511743,0.002472187886279357,0.007663782447466007,0.005686032138442522,0.005933250927070457,0.004944375772558714,0.00024721878862793575,0.0029666254635352285,0.006427688504326329
12,0.782051282051282,0.0019135093761959434,0.006888633754305396,0.016264829697665517,0.010715652506697282,0.015499425947187142,0.020857252200535782,0.014159969383849981,0.007462686567164179,0.041140451588212786,0.006123230003827019,0.019135093761959432,0.001148105625717566,0.008036739380022962,0.0007654037504783774,0.0030616150019135095,0.006314580941446613,0.017412935323383085,0.0,0.004783773440489858,0.0003827018752391887,0.001148105625717566,0.00019135093761959434,0.0013394565633371603,0.0013394565633371603,0.0028702640642939152,0.0026789131266743206,0.000574052812858783,0.002296211251435132,0.003444316877152698
13,0.6410308033017919,0.020535534527884036,0.043285685524461444,0.02939400040265754,0.023958123615864708,0.03100463056170727,0.03080330179182605,0.007247835715723777,0.016508959130259713,0.01711294543990336,0.015300986510972418,0.01912623313871552,0.005838534326555265,0.012079726192872961,0.0020132876988121604,0.01369035635192269,0.006845178175961345,0.00865713710489229,0.004831890477149185,0.0024159452385745924,0.0026172740084558083,0.0052345480169116165,0.0052345480169116165,0.004831890477149185,0.004630561707267968,0.005033219247030401,0.004630561707267968,0.004026575397624321,0.0034225890879806724,0.00865713710489229
