현토,총빈도,종결비율,번역패턴,패턴속성,Silhouette,K
히,516,0.002,"이르기까지(153), 를막론하고(5), 없었습니다(4)",단일,0.111,1
라하여,514,0.041,"고생각하여(14), 다라고하여(7), 생각하였다(5)",단일,0.124,1
하노이다,458,0.528,"니다하였다(28), 올리나이다(27), 는것입니다(20)",단일,0.164,1
라하야,439,0.089,"다라고하여(16), 라고하면서(13), 하였습니다(10)",단일,0.098,1
고,401,0.369,"대답하기를(11), 어째서인가(11), 수있겠는가(5)",단일,0.188,1
라하시니,373,0.147,"다하셨으니(44), 고하셨으니(36), 다하였으니(34)",단일,0.192,1
로소이다,356,0.517,"되었습니다(26), 하였습니다(10), 니다하였다(10)",단일,0.188,1
하얀,354,0.003,"이르러서는(49), 에미쳐서는(9), 로말하자면(4)",단일,0.116,1
리잇가,353,0.538,"있겠습니까(83), 하겠습니까(16), 않겠습니까(13)",단일,0.177,1
의,332,0.0,"숙과같이(3), 때문이니라(3), 이르기까지(2)",단일,0.147,1
시니라,327,0.835,"하신것이다(89), 으신것이다(22), 주신것이다(15)",단일,0.2,2
일새라,307,0.658,"기때문이다(216), 때문이었다(6), 때문입니다(5)",단일,0.175,1
라한대,300,0.213,"다라고하자(17), 니다하였다(17), 라고하였다(16)",단일,0.109,1
라하니이다,299,0.508,"하였습니다(100), 다고합니다(21), 한것입니다(6)",단일,0.114,1
온,298,0.097,"이겠습니까(19), 에있어서랴(7), 이있겠는가(7)",단일,0.191,1
하노니,272,0.103,"가바랍니다(3), 라고하였다(3), 되게하노니(3)",단일,0.19,1
하리이다,267,0.562,"을것입니다(40), 할것입니다(28), 될것입니다(20)",단일,0.18,1
하야는,239,0.0,"이르러서는(37), 에있어서는(5), 성인이라도(5)",단일,0.113,1
하시니라,237,0.688,"하신것이다(41), 으신것이다(9), 씀한것이다(7)",단일,0.228,2
로대,230,0.048,"지않았으니(3), 려하였으나(2), 하지않았다(2)",단일,0.131,1
라하야늘,226,0.279,"고하였는데(30), 라고하였다(26), 다라고하자(8)",단일,0.128,1
릿가,220,0.477,"있겠습니까(22), 라고하였다(19), 하겠습니까(13)",단일,0.151,1
하시면,210,0.029,"게하신다면(9), 지않으시면(7), 할것입니다(5)",단일,0.167,1
하나니라,207,0.729,"않는것이다(7), 하지않는다(5), 하는것이다(5)",단일,0.16,1
에도,188,0.0,"이르러서도(3), 에있어서도(3), 다하였으니(3)",단일,0.178,1
하시며,181,0.022,"지않으시며(12), 않으셨으며(10), 지않으셨다(8)",단일,0.218,2
호니,178,0.017,"지않으리오(4), 에게들으니(3), 을만났으니(3)",단일,0.216,2
ᄂ저,176,0.455,"다고하였다(19), 일것입니다(4), 른듯합니다(4)",단일,0.159,1
잇고,167,0.413,"째서입니까(24), 까하고묻자(8), 대답하셨다(7)",단일,0.226,2
어시늘,165,0.073,"게하였는데(5), 게하셨는데(3), 씀하셨는데(3)",단일,0.225,2
ㄴ저,165,0.515,"있을것이다(4), 서일것이다(3), 대답하였다(3)",단일,0.161,1
라하시니라,149,0.651,"하신것이다(20), 씀한것이다(10), 이다하셨다(9)",단일,0.219,2
아하고,145,0.2,"가라고하고(13), 라고하고서(13), 라고하고는(12)",단일,0.136,1
아하니,143,0.189,"가라고하니(12), 까라고하니(10), 가하였으니(9)",단일,0.146,1
시니,139,0.108,"하신것이니(8), 하신것이다(5), 지말지어다(5)",단일,0.281,2
어다,137,0.54,"지말지어다(48), 경할지어다(10), 게할지어다(7)",단일,0.294,2
하시니이다,137,0.504,"하셨습니다(28), 주셨습니다(12), 으셨습니다(7)",단일,0.233,2
오하니,130,0.269,"가라고하니(14), 까라고하니(7), 고하였으니(4)",단일,0.149,1
리오마는,123,0.114,"겠는가마는(19), 습니까마는(14), 으리오마는(10)",단일,0.208,2
