book_name,sentence_id,pa_cluster,sa_dominant_cluster,sa_cluster_diversity,sa_phrase_count
논어집주,2726,3,0,1,1
논어집주,2746,3,11,2,3
논어집주,2772,3,0,1,1
논어집주,2791,3,1,1,1
논어집주,2792,3,1,1,1
논어집주,2793,3,0,2,3
논어집주,2794,3,1,1,1
논어집주,2795,3,0,1,1
논어집주,2796,3,3,1,1
논어집주,2797,3,3,1,1
논어집주,2809,3,0,1,1
논어집주,2810,3,8,1,1
논어집주,2820,3,3,1,1
논어집주,2870,3,0,1,1
논어집주,2871,3,3,1,1
논어집주,2926,3,3,1,1
논어집주,2958,3,0,1,3
논어집주,2977,3,3,1,1
논어집주,2978,3,3,1,1
논어집주,2979,3,2,1,2
논어집주,2984,3,3,2,3
논어집주,3015,3,0,2,2
논어집주,3032,3,0,1,2
논어집주,3034,3,3,1,1
논어집주,3059,3,0,1,1
논어집주,3068,3,0,1,1
논어집주,3069,3,0,1,3
논어집주,3073,3,0,2,2
논어집주,3078,3,8,1,1
논어집주,3089,3,0,1,1
논어집주,3090,3,0,1,2
논어집주,3100,3,0,2,3
논어집주,3102,3,0,1,3
논어집주,3106,3,3,1,1
논어집주,3107,3,2,2,3
논어집주,3108,3,0,1,1
논어집주,3109,3,0,1,1
논어집주,3110,3,0,1,1
논어집주,3117,3,0,1,1
논어집주,3118,3,0,1,1
논어집주,3121,3,0,1,1
논어집주,3122,3,3,1,2
논어집주,3126,3,0,1,1
논어집주,3133,3,0,1,1
논어집주,3134,3,2,1,2
논어집주,3135,3,3,2,3
논어집주,3138,3,7,2,3
논어집주,3142,3,3,1,1
논어집주,3147,3,3,1,1
논어집주,3148,3,0,1,1
논어집주,3149,3,3,1,2
논어집주,3150,3,3,1,1
논어집주,3181,3,0,1,2
논어집주,3188,3,3,2,3
논어집주,3193,3,0,1,3
논어집주,3194,3,0,1,1
논어집주,3195,3,0,1,1
논어집주,3196,3,0,1,1
논어집주,3247,3,2,2,3
논어집주,3248,3,3,1,1
논어집주,3290,3,8,1,1
논어집주,3291,3,0,2,3
논어집주,3296,3,0,1,1
논어집주,3297,3,0,2,3
논어집주,3300,3,6,2,3
논어집주,3301,3,0,1,1
논어집주,3308,3,3,2,3
논어집주,3313,3,3,1,1
논어집주,3331,3,0,1,2
논어집주,3333,3,7,1,1
논어집주,3394,3,1,1,1
논어집주,3412,3,8,1,1
논어집주,3454,3,0,2,2
논어집주,3457,3,3,1,1
논어집주,3463,3,0,2,3
논어집주,3521,3,3,1,1
논어집주,3530,3,0,2,2
논어집주,3535,3,0,1,1
논어집주,3536,3,3,1,1
논어집주,3591,3,0,1,1
논어집주,3592,3,0,1,1
논어집주,3641,3,0,1,1
논어집주,3642,3,1,1,1
논어집주,3644,3,3,1,1
논어집주,3645,3,0,1,1
논어집주,3653,3,0,1,1
논어집주,3654,3,0,1,1
논어집주,3676,3,0,2,3
논어집주,3677,3,3,1,1
논어집주,3678,3,3,1,1
논어집주,3679,3,3,1,1
논어집주,3680,3,2,1,2
논어집주,3682,3,0,1,1
논어집주,3683,3,0,1,1
논어집주,3684,3,0,1,2
논어집주,3731,3,3,1,1
논어집주,3732,3,0,1,1
논어집주,3733,3,3,1,1
논어집주,3781,3,7,1,1
논어집주,3865,3,0,1,2
논어집주,3866,3,0,1,1
논어집주,3867,3,0,1,3
논어집주,3906,3,0,1,1
논어집주,3913,3,0,1,1
논어집주,3917,3,0,2,2
논어집주,3974,3,0,1,1
논어집주,3975,3,3,1,1
논어집주,3979,3,0,2,2
논어집주,4033,3,0,1,2
논어집주,4240,3,0,1,1
논어집주,4266,3,8,1,1
논어집주,4301,3,3,1,1
논어집주,4302,3,3,1,1
논어집주,4303,3,0,2,3
논어집주,4347,3,0,1,1
논어집주,4378,3,2,1,1
논어집주,4379,3,0,1,1
논어집주,4387,3,8,1,1
논어집주,4388,3,3,1,5
논어집주,4389,3,0,1,1
논어집주,4390,3,0,1,1
논어집주,4411,3,11,1,1
논어집주,4412,3,0,1,1
논어집주,4464,3,0,2,3
논어집주,4472,3,3,1,1
논어집주,4487,3,3,1,1
논어집주,4515,3,0,1,3
논어집주,4532,3,1,1,1
논어집주,4554,3,2,2,4
논어집주,4558,3,0,1,1
논어집주,4559,3,0,1,2
논어집주,4594,3,0,1,1
논어집주,4595,3,0,1,1
논어집주,4618,3,3,1,1
논어집주,4683,3,0,1,2
논어집주,4695,3,0,1,1
논어집주,4698,3,1,1,1
논어집주,4699,3,0,1,1
논어집주,4824,3,0,1,1
논어집주,4851,3,0,2,3
논어집주,4853,3,8,1,1
논어집주,4861,3,0,1,1
논어집주,4893,3,0,1,1
논어집주,4926,3,1,1,1
논어집주,4928,3,0,2,2
논어집주,4936,3,1,1,1
논어집주,4937,3,0,1,3
논어집주,4944,3,0,2,2
논어집주,4963,3,0,1,1
논어집주,4991,3,0,2,4
논어집주,4992,3,0,1,1
논어집주,4998,3,3,1,1
논어집주,5009,3,0,1,1
논어집주,5010,3,1,1,1
논어집주,5068,3,3,1,1
논어집주,5069,3,0,2,3
논어집주,5073,3,0,2,2
논어집주,5086,3,3,1,1
논어집주,5088,3,1,1,1
논어집주,5089,3,11,1,2
논어집주,5097,3,10,1,1
논어집주,5134,3,11,1,1
논어집주,5135,3,3,1,1
논어집주,5147,3,0,1,1
논어집주,5148,3,0,1,1
논어집주,5149,3,0,1,1
논어집주,5182,3,0,2,4
논어집주,5183,3,0,1,1
논어집주,5254,3,0,1,1
논어집주,5345,3,0,1,1
논어집주,5359,3,7,1,2
논어집주,5360,3,0,1,1
논어집주,5367,3,3,1,1
논어집주,5376,3,0,1,1
논어집주,5403,3,3,1,1
논어집주,5404,3,3,1,1
논어집주,5409,3,3,1,1
논어집주,5410,3,3,1,1
논어집주,5415,3,0,1,1
논어집주,5424,3,0,1,3
논어집주,5434,3,10,1,1
논어집주,5435,3,0,1,1
논어집주,5438,3,3,1,3
논어집주,5439,3,3,1,1
논어집주,5475,3,3,1,1
논어집주,5489,3,3,1,1
논어집주,5586,3,3,1,1
논어집주,5625,3,3,1,1
논어집주,5636,3,0,1,2
논어집주,5683,3,0,1,1
논어집주,5684,3,0,1,1
논어집주,5689,3,3,1,1
논어집주,5708,3,0,2,3
논어집주,5733,3,0,1,1
논어집주,5737,3,1,1,1
논어집주,5749,3,0,1,3
논어집주,5750,3,0,1,1
논어집주,5754,3,0,1,1
논어집주,5755,3,0,1,5
논어집주,5782,3,0,1,1
논어집주,5784,3,8,1,1
논어집주,5785,3,0,1,3
논어집주,5796,3,0,2,3
논어집주,5797,3,3,1,1
논어집주,5798,3,0,1,1
논어집주,5836,3,0,1,3
논어집주,5837,3,3,1,1
논어집주,5838,3,3,2,6
논어집주,5851,3,0,1,1
논어집주,5871,3,3,1,3
논어집주,5872,3,0,1,1
논어집주,5878,3,0,1,1
논어집주,5892,3,0,1,1
논어집주,5909,3,11,1,1
논어집주,5923,3,1,1,1
논어집주,5924,3,0,1,1
논어집주,5957,3,0,1,1
논어집주,5958,3,0,2,3
논어집주,5965,3,0,1,1
논어집주,5978,3,0,1,1
논어집주,5979,3,0,1,1
논어집주,5980,3,0,1,1
논어집주,5982,3,0,1,3
논어집주,5983,3,0,1,1
논어집주,5998,3,1,1,1
논어집주,5999,3,3,1,1
논어집주,6000,3,0,1,1
논어집주,6001,3,0,1,2
논어집주,6002,3,0,1,1
논어집주,6041,3,0,1,1
논어집주,6066,3,11,1,1
논어집주,6069,3,1,1,1
논어집주,6072,3,3,1,3
논어집주,6075,3,0,3,6
논어집주,6076,3,3,1,1
논어집주,6093,3,0,1,1
논어집주,6096,3,0,1,1
논어집주,6113,3,10,1,1
논어집주,6137,3,0,1,1
논어집주,6163,3,0,1,1
논어집주,6186,3,0,1,1
논어집주,6191,3,0,2,2
논어집주,6205,3,0,1,1
논어집주,6231,3,0,1,1
논어집주,6276,3,0,2,2
논어집주,6309,3,0,1,1
논어집주,6312,3,0,1,2
논어집주,6321,3,3,1,1
논어집주,6326,3,3,1,1
논어집주,6327,3,3,2,3
논어집주,6328,3,0,2,5
논어집주,6342,3,0,1,1
논어집주,6343,3,8,1,1
논어집주,6344,3,13,1,2
논어집주,6345,3,0,1,1
논어집주,6356,3,0,1,2
논어집주,6357,3,3,1,1
논어집주,6358,3,0,1,2
논어집주,6365,3,0,1,1
논어집주,6375,3,3,2,3
논어집주,6397,3,3,2,3
당송팔대가문초구양수2,345,3,0,1,1
당송팔대가문초구양수2,1513,3,0,1,6
당송팔대가문초구양수2,1888,3,0,1,1
당송팔대가문초구양수3,285,3,0,1,1
당송팔대가문초구양수4,196,3,0,2,2
당송팔대가문초구양수4,668,3,0,2,2
당송팔대가문초구양수4,1554,3,1,1,1
당송팔대가문초구양수4,1555,3,1,1,1
당송팔대가문초구양수4,2008,3,0,1,1
당송팔대가문초구양수4,2315,3,1,1,1
당송팔대가문초구양수6,1610,3,0,2,2
당송팔대가문초구양수6,2033,3,8,2,2
당송팔대가문초구양수6,2039,3,0,2,2
당송팔대가문초소순1,2642,3,8,1,1
당송팔대가문초소순1,2643,3,1,1,1
당송팔대가문초소순1,2770,3,0,2,2
당송팔대가문초소식1,447,3,8,1,1
당송팔대가문초소식2,444,3,0,1,1
당송팔대가문초소식2,1694,3,0,1,1
당송팔대가문초소식4,158,3,10,1,1
당송팔대가문초소식5,240,3,0,2,2
당송팔대가문초소식5,241,3,3,1,1
당송팔대가문초소식5,402,3,0,1,1
당송팔대가문초소식5,773,3,0,1,1
당송팔대가문초소식5,1096,3,3,1,3
당송팔대가문초소식5,1107,3,0,1,1
당송팔대가문초소식5,1560,3,0,3,3
당송팔대가문초소식5,1581,3,0,2,5
당송팔대가문초소식5,1662,3,0,1,3
당송팔대가문초왕안석2,853,3,1,1,1
당송팔대가문초왕안석2,1317,3,0,2,2
당송팔대가문초왕안석2,1885,3,0,1,4
당송팔대가문초왕안석2,1891,3,8,3,4
당송팔대가문초왕안석2,2394,3,0,1,3
당송팔대가문초왕안석2,2858,3,0,1,1
당송팔대가문초왕안석2,3116,3,3,1,1
당송팔대가문초유종원1,1387,3,0,2,2
당송팔대가문초유종원1,1436,3,12,1,1
당송팔대가문초유종원2,104,3,0,1,1
당송팔대가문초유종원2,228,3,0,1,3
당송팔대가문초유종원2,231,3,0,1,1
당송팔대가문초유종원2,232,3,0,2,3
당송팔대가문초유종원2,281,3,0,1,1
당송팔대가문초유종원2,789,3,0,2,4
당송팔대가문초유종원2,1204,3,3,1,1
당송팔대가문초유종원2,1205,3,3,1,1
당송팔대가문초유종원2,1265,3,0,1,1
당송팔대가문초유종원2,1574,3,0,1,1
당송팔대가문초유종원2,1575,3,2,1,2
당송팔대가문초유종원2,1580,3,0,1,1
당송팔대가문초유종원2,1584,3,0,3,3
당송팔대가문초유종원2,2182,3,3,1,1
당송팔대가문초증공1,2013,3,0,2,3
당송팔대가문초한유1,774,3,0,1,1
당송팔대가문초한유1,1322,3,4,1,1
당송팔대가문초한유2,218,3,0,1,1
당송팔대가문초한유2,290,3,0,1,3
당송팔대가문초한유2,291,3,0,1,5
당송팔대가문초한유2,296,3,0,1,1
당송팔대가문초한유2,429,3,0,2,2
당송팔대가문초한유2,466,3,0,1,1
당송팔대가문초한유2,556,3,1,1,1
당송팔대가문초한유2,689,3,8,2,3
당송팔대가문초한유2,690,3,0,1,3
당송팔대가문초한유2,737,3,0,1,2
당송팔대가문초한유2,738,3,13,1,1
당송팔대가문초한유2,1059,3,0,2,3
당송팔대가문초한유2,1373,3,8,1,1
당송팔대가문초한유2,1374,3,0,1,5
당송팔대가문초한유2,1612,3,0,2,3
당송팔대가문초한유2,1613,3,5,5,6
당송팔대가문초한유2,1614,3,0,1,4
당송팔대가문초한유3,728,3,0,1,1
당송팔대가문초한유3,902,3,3,2,2
당송팔대가문초한유3,1098,3,3,1,1
당송팔대가문초한유3,1517,3,0,1,1
당시삼백수1,245,3,8,1,1
당시삼백수1,510,3,3,2,3
당시삼백수1,646,3,8,2,3
당시삼백수1,647,3,0,1,1
당시삼백수1,812,3,0,2,5
당시삼백수1,817,3,0,2,5
당시삼백수1,818,3,0,1,1
당시삼백수1,868,3,1,1,1
당시삼백수1,869,3,0,2,2
당시삼백수1,870,3,0,1,2
당시삼백수1,871,3,0,1,1
당시삼백수1,872,3,0,2,2
당시삼백수2,24,3,0,1,2
당시삼백수2,220,3,0,1,1
당시삼백수2,515,3,0,4,6
당시삼백수2,1003,3,0,1,2
당시삼백수2,1320,3,0,1,1
당시삼백수2,1391,3,0,1,1
당시삼백수2,1400,3,0,1,5
당시삼백수2,1473,3,0,1,1
당시삼백수2,1474,3,0,1,1
당시삼백수3,553,3,3,1,2
당시삼백수3,862,3,4,1,1
당시삼백수3,870,3,0,1,2
당시삼백수3,1032,3,0,1,1
당시삼백수3,1302,3,0,1,2
당시삼백수3,1520,3,0,2,2
대학장구,101,3,3,1,1
대학장구,135,3,0,1,3
대학장구,142,3,1,1,1
대학장구,145,3,1,1,1
대학장구,146,3,0,1,1
대학장구,150,3,7,1,2
대학장구,157,3,8,2,3
대학장구,174,3,1,1,1
대학장구,175,3,3,1,1
대학장구,180,3,1,1,1
대학장구,181,3,0,1,1
대학장구,182,3,0,1,1
대학장구,183,3,3,1,3
대학장구,191,3,1,1,1
대학장구,192,3,3,1,3
대학장구,193,3,1,2,2
대학장구,194,3,0,1,1
대학장구,195,3,0,2,2
대학장구,197,3,0,2,4
대학장구,198,3,3,2,3
대학장구,199,3,0,1,1
대학장구,200,3,3,1,1
대학장구,202,3,8,2,3
대학장구,203,3,3,1,1
대학장구,209,3,1,1,1
대학장구,210,3,0,1,1
대학장구,251,3,0,1,1
대학장구,288,3,0,1,1
대학장구,307,3,0,1,1
대학장구,308,3,0,1,1
대학장구,309,3,3,1,1
대학장구,324,3,3,1,1
대학장구,325,3,1,2,2
대학장구,326,3,0,1,3
대학장구,339,3,0,1,1
대학장구,340,3,0,1,1
대학장구,341,3,0,1,1
대학장구,342,3,3,1,1
대학장구,355,3,1,1,1
대학장구,361,3,0,1,1
대학장구,362,3,11,1,1
대학장구,369,3,1,1,1
